county,state_precinct_id,precinct,BOB CASEY JR   2018C0950   DEM,LOU BARLETTA   2018C0510   REP,NEAL GALE   2018C1527   GRN,DALE R KERNS JR   2018C1513   LIB,TOM WOLF   2018C1049   DEM,SCOTT R WAGNER   2018C0493   REP,PAUL GLOVER   2018C1528   GRN,KEN V KRAWCHUK   2018C1514   LIB,SUSAN BOSER   2018C1410   DEM,GLENN GT THOMPSON   2018C1383   REP,JOSEPH A PETRARCA   2018C0382   DEM,JEFF PYLE   2018C1060   REP,LOGAN DELLAFIORA   2018C0426   DEM,JIM STRUZZI   2018C0717   REP,KERITH STRANO TAYLOR   2018C0896   DEM,CRIS DUSH   2018C0328   REP,Daniel Wilson   Write-In    Independent (STH),Scattered   Statewide    (USS),Scattered   Statewide    (GOV),Scattered   15th Congressional     (USC),Scattered   55th Legislative     (STH),Scattered   60th Legislative     (STH),Scattered   62nd Legislative     (STH),Scattered   66th Legislative     (STH)
Indiana,1000,ARMAGH,11,28,0,2,13,25,2,1,9,32,,,11,29,,,,,,,,,,
Indiana,2003,ARMSTRONG 1,120,220,2,9,123,222,1,3,106,243,,,94,252,,,3,,,1,,,,
Indiana,2006,ARMSTRONG 2,277,587,3,13,287,576,7,9,224,646,,,214,658,,,3,1,1,3,,,2,
Indiana,3003,BANKS 1,72,211,2,2,67,215,0,3,50,237,,,,,37,250,,,,,,,,
Indiana,4003,BLACKLICK,187,337,2,1,190,330,3,2,153,370,,408,,,,,,,,,,10,,
Indiana,5010,BLAIRSVILLE 1,193,204,3,9,193,203,4,9,182,226,,,179,227,,,1,1,,,,,,
Indiana,5020,BLAIRSVILLE 2,191,204,3,4,198,200,1,2,176,225,,,173,220,,,8,,,1,,,,
Indiana,5030,BLAIRSVILLE 3,223,201,2,9,231,189,1,7,216,217,,,220,214,,,,,2,1,,,3,
Indiana,6000,BRUSH VALLEY,231,429,5,7,229,427,7,8,196,473,,,225,435,,,9,,,1,,,2,
Indiana,7003,BUFFINGTON 1,129,236,3,1,126,237,2,3,99,267,,,98,269,,,,,,,,,,
Indiana,7006,BUFFINGTON 2,34,81,1,0,35,79,0,2,29,87,,,28,88,,,2,,1,,,,,
Indiana,8003,BURRELL 1,209,260,4,7,201,270,3,6,194,281,,,207,264,,,6,1,,,,,2,
Indiana,8006,BURRELL 2,291,441,3,8,316,415,3,7,260,477,,,284,454,,,,,,1,,,,
Indiana,9003,CANOE,138,297,2,4,137,302,2,2,102,334,,,,,82,360,,,,1,,,,
Indiana,10003,CENTER 1,207,289,1,4,202,290,1,6,171,326,,,197,302,,,2,,,,,,,
Indiana,10006,CENTER 2,238,208,3,8,234,215,5,2,225,229,,,251,205,,,5,2,,5,,,1,
Indiana,10009,CENTER 3,457,395,2,6,461,388,3,8,420,437,,,442,409,,,4,,3,,,,3,
Indiana,12000,CHERRY TREE,36,65,1,1,32,68,1,1,25,78,,,,,16,87,,,,,,,,
Indiana,11003,CHERRYHILL 1,254,466,3,3,249,469,3,2,207,509,,,221,501,,,3,,,1,,,2,
Indiana,11006,CHERRYHILL 2,114,224,3,3,111,222,4,4,105,235,,,91,244,,,7,,,,,,2,
Indiana,13003,CLYMER 1,186,216,7,7,181,229,5,4,155,261,,,156,259,,,3,,,,,,,
Indiana,14003,CONEMAUGH 1,59,95,2,2,60,93,4,1,58,98,,110,,,,,,,,,,1,,
Indiana,14006,CONEMAUGH 2,130,255,2,4,138,249,2,4,129,263,,327,,,,,,,,,,7,,
Indiana,14009,CONEMAUGH 3,99,136,2,1,104,130,1,3,89,148,,184,,,,,,,,,,2,,
Indiana,15000,CREEKSIDE,46,51,1,0,49,47,1,0,45,52,,,44,53,,,,,,,,,,
Indiana,22000,EAST MAHONING,98,269,3,0,88,272,4,4,74,295,,,,,57,309,,1,2,1,,,,3
Indiana,35003,EAST WHEATFIELD 1,203,305,2,2,199,302,4,5,169,340,,,163,342,,,5,,,,,,1,
Indiana,35006,EAST WHEATFIELD 2,126,186,2,2,129,181,0,5,102,213,,,91,223,,,,,,,,,,
Indiana,15500,ERNEST,45,62,1,4,50,58,1,3,49,63,,,,,45,67,,,,,,,,
Indiana,16000,GLEN CAMPBELL,35,39,0,1,33,41,0,1,30,44,,,,,22,54,,,,,,,,
Indiana,17003,GRANT,66,192,1,0,61,192,1,3,61,197,,,,,49,208,,,1,1,,,,1
Indiana,18003,GREEN 1,146,372,3,5,133,388,2,3,111,415,,,,,93,428,,,,,,,,2
Indiana,18006,GREEN 2,152,346,4,2,143,351,1,8,123,377,,,,,104,398,,1,,,,,,2
Indiana,18009,GREEN 3,63,136,0,1,57,143,2,0,50,149,,,,,35,166,,,,,,,,
Indiana,19003,HOMER CITY 1,236,160,3,5,241,158,4,3,207,194,,,216,180,,,6,,,,,,,
Indiana,19006,HOMER CITY 2,116,109,2,4,121,105,2,2,114,114,,,110,121,,,,,,,,,2,
Indiana,20010,INDIANA 1,410,252,8,10,418,247,7,6,393,282,,,353,322,,,2,,,,,,2,
Indiana,20021,INDIANA 2 1,218,136,9,15,226,131,7,11,218,157,,,201,171,,,2,,,,,,1,
Indiana,20022,INDIANA 2 2,355,223,5,12,376,205,3,9,334,253,,,321,261,,,10,,,,,,1,
Indiana,20031,INDIANA 3 1,359,61,8,6,261,54,13,6,262,67,,,265,62,,,,,,,,,,
Indiana,20032,INDIANA 3 2,412,152,21,13,423,153,15,9,433,163,,,419,172,,,4,,,,,,1,
Indiana,20034,INDIANA 3 4,214,111,4,5,216,107,5,3,194,139,,,184,148,,,1,,1,2,,,1,
Indiana,20040,INDIANA 4,340,187,1,3,346,176,4,5,322,206,,,302,225,,,4,,,2,,,1,
Indiana,26000,MARION CENTER,51,105,0,3,49,107,1,2,37,119,,,,,31,125,,,,1,,,,1
Indiana,27000,MONTGOMERY,176,299,0,4,163,312,3,4,156,324,,,,,129,355,,,,,,,,1
Indiana,23000,NORTH MAHONING,82,296,3,4,82,298,0,5,67,319,,,,,56,329,,,,,,,,
Indiana,28003,PINE 1,92,208,0,2,95,202,0,5,75,225,,,69,229,,,,,,,,,2,
Indiana,28006,PINE 2,78,93,0,1,77,94,1,1,75,97,,,78,94,,,,,,,,,,
Indiana,28009,PINE 3,67,95,2,1,60,104,1,0,63,101,,,65,100,,,,,,,,,,
Indiana,29000,PLUMVILLE,30,61,0,2,32,57,1,4,27,61,,,,,26,66,,,,1,,,,
Indiana,30003,RAYNE,380,774,3,14,365,786,10,9,310,847,,,,,281,883,,,2,7,,,,4
Indiana,31000,SALTSBURG,136,117,1,4,145,111,0,3,119,138,182,,,,,,,1,,2,5,,,
Indiana,32000,SHELOCTA,3,29,0,0,4,28,1,0,5,28,,,5,28,,,,1,,,,,,
Indiana,33000,SMICKSBURG,4,15,0,1,4,17,0,0,4,17,,,,,3,18,,,,,,,,
Indiana,24003,SOUTH MAHONING 1,146,336,1,4,132,346,3,4,123,360,,,,,97,391,,,,,,,,
Indiana,34000,WASHINGTON,201,432,2,6,186,447,4,3,156,486,,,146,487,,,7,,,,,,,
Indiana,25000,WEST MAHONING,28,135,1,1,27,134,3,0,23,141,,,,,18,146,,,,,,,,
Indiana,36003,WEST WHEATFIELD 1,166,213,3,3,167,210,4,2,133,251,,,133,252,,,,,1,,,,,
Indiana,36006,WEST WHEATFIELD 2,154,242,1,4,147,246,2,3,118,281,,,129,268,,,,,,1,,,,
Indiana,37010,WHITE 1,399,523,4,12,423,506,0,7,354,580,,,319,603,,,8,,,1,,,1,
Indiana,37020,WHITE 2,608,714,8,17,641,683,7,13,544,788,,,484,828,,,26,,1,1,,,3,
Indiana,37031,WHITE 3 1,406,401,3,11,427,377,4,9,360,454,,,335,474,,,8,,1,1,,,1,
Indiana,37032,WHITE 3 2,413,387,4,17,421,379,8,9,384,433,,,372,422,,,19,,,2,,,1,
Indiana,37033,WHITE 3 3,387,299,5,10,408,283,4,7,366,333,,,363,331,,,1,,,,,,1,
Indiana,37040,WHITE 4,458,453,3,3,460,443,6,6,403,513,,,369,526,,,25,,1,2,,,,
Indiana,37060,WHITE 6,287,306,3,3,305,290,4,2,243,357,,,231,369,,,,,1,,,,1,
Indiana,38003,YOUNG 1,122,191,1,5,110,202,4,3,106,212,,242,,,,,,,,,,12,,
Indiana,38006,YOUNG 2,41,59,1,0,39,64,1,0,35,65,,71,,,,,,,,,,4,,
Indiana,38009,YOUNG 3,61,97,1,1,58,99,0,3,54,104,,130,,,,,,,,,,,,