county,precinct,office,district,party,candidate,votes,election_day,absentee
Clinton,0001 ALLISON TOWNSHIP,,,,Registered Voters,148,,
Clinton,0001 ALLISON TOWNSHIP,,,,Ballots Cast,92,90,2
Clinton,0001 ALLISON TOWNSHIP,STRAIGHT PARTY,,DEM,DEMOCRATIC,15,14,1
Clinton,0001 ALLISON TOWNSHIP,STRAIGHT PARTY,,REP,REPUBLICAN,30,30,0
Clinton,0001 ALLISON TOWNSHIP,STRAIGHT PARTY,,GRN,GREEN PARTY,0,0,0
Clinton,0001 ALLISON TOWNSHIP,STRAIGHT PARTY,,LIB,LIBERTARIAN,0,0,0
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,DEM,BOB CASEY JR,41,38,1
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,REP,LOU BARLETTA,53,52,1
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,GRN,NEAL GALE,0,0,0
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,LIB,DALE R KERNS JR,0,0,0
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0
Clinton,0001 ALLISON TOWNSHIP,Governor,,DEM,TOM WOLF AND JOHN FETTERMAN,43,39,2
Clinton,0001 ALLISON TOWNSHIP,Governor,,REP,SCOTT R WAGNER AND JEFF BARTOS,51,51,0
Clinton,0001 ALLISON TOWNSHIP,Governor,,GRN,PAUL GLOVER,0,0,0
Clinton,0001 ALLISON TOWNSHIP,Governor,,LIB,KEN V KRAWCHUK,0,0,0
Clinton,0001 ALLISON TOWNSHIP,Governor,,,Write-ins,0,0,0
Clinton,0001 ALLISON TOWNSHIP,U.S. House,12,DEM,MARC FRIEDENBERG,33,30,1
Clinton,0001 ALLISON TOWNSHIP,U.S. House,12,REP,TOM MARINO,61,60,1
Clinton,0001 ALLISON TOWNSHIP,U.S. House,12,,Write-ins,0,0,0
Clinton,0001 ALLISON TOWNSHIP,State House,76,DEM,MIKE HANNA,43,39,2
Clinton,0001 ALLISON TOWNSHIP,State House,76,REP,STEPHANIE BOROWICZ,51,51,0
Clinton,0001 ALLISON TOWNSHIP,State House,76,,Write-ins,0,0,0
Clinton,0002 AVIS BOROUGH,,,,Registered Voters,798,,
Clinton,0002 AVIS BOROUGH,,,,Ballots Cast,490,469,21
Clinton,0002 AVIS BOROUGH,STRAIGHT PARTY,,DEM,DEMOCRATIC,82,74,8
Clinton,0002 AVIS BOROUGH,STRAIGHT PARTY,,REP,REPUBLICAN,188,180,8
Clinton,0002 AVIS BOROUGH,STRAIGHT PARTY,,GRN,GREEN PARTY,2,1,1
Clinton,0002 AVIS BOROUGH,STRAIGHT PARTY,,LIB,LIBERTARIAN,1,1,0
Clinton,0002 AVIS BOROUGH,U.S. Senate,,DEM,BOB CASEY JR,192,181,11
Clinton,0002 AVIS BOROUGH,U.S. Senate,,REP,LOU BARLETTA,291,279,10
Clinton,0002 AVIS BOROUGH,U.S. Senate,,GRN,NEAL GALE,1,1,0
Clinton,0002 AVIS BOROUGH,U.S. Senate,,LIB,DALE R KERNS JR,3,3,0
Clinton,0002 AVIS BOROUGH,U.S. Senate,,,Write-ins,0,0,0
Clinton,0002 AVIS BOROUGH,Governor,,DEM,TOM WOLF AND JOHN FETTERMAN,195,186,9
Clinton,0002 AVIS BOROUGH,Governor,,REP,SCOTT R WAGNER AND JEFF BARTOS,285,272,11
Clinton,0002 AVIS BOROUGH,Governor,,GRN,PAUL GLOVER,2,2,0
Clinton,0002 AVIS BOROUGH,Governor,,LIB,KEN V KRAWCHUK,4,3,1
Clinton,0002 AVIS BOROUGH,Governor,,,Write-ins,1,1,0
Clinton,0002 AVIS BOROUGH,U.S. House,12,DEM,MARC FRIEDENBERG,166,157,9
Clinton,0002 AVIS BOROUGH,U.S. House,12,REP,TOM MARINO,315,301,12
Clinton,0002 AVIS BOROUGH,U.S. House,12,,Write-ins,0,0,0
Clinton,0002 AVIS BOROUGH,State House,76,DEM,MIKE HANNA,202,192,10
Clinton,0002 AVIS BOROUGH,State House,76,REP,STEPHANIE BOROWICZ,281,269,10
Clinton,0002 AVIS BOROUGH,State House,76,,Write-ins,0,0,0
Clinton,0003 BALD EAGLE TOWNSHIP,,,,Registered Voters,1110,,
Clinton,0003 BALD EAGLE TOWNSHIP,,,,Ballots Cast,709,684,25
Clinton,0003 BALD EAGLE TOWNSHIP,STRAIGHT PARTY,,DEM,DEMOCRATIC,126,120,6
Clinton,0003 BALD EAGLE TOWNSHIP,STRAIGHT PARTY,,REP,REPUBLICAN,233,229,4
Clinton,0003 BALD EAGLE TOWNSHIP,STRAIGHT PARTY,,GRN,GREEN PARTY,2,2,0
Clinton,0003 BALD EAGLE TOWNSHIP,STRAIGHT PARTY,,LIB,LIBERTARIAN,4,4,0
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. Senate,,DEM,BOB CASEY JR,276,266,10
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. Senate,,REP,LOU BARLETTA,404,390,14
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. Senate,,GRN,NEAL GALE,4,4,0
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. Senate,,LIB,DALE R KERNS JR,15,15,0
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0
Clinton,0003 BALD EAGLE TOWNSHIP,Governor,,DEM,TOM WOLF AND JOHN FETTERMAN,296,282,14
Clinton,0003 BALD EAGLE TOWNSHIP,Governor,,REP,SCOTT R WAGNER AND JEFF BARTOS,386,375,11
Clinton,0003 BALD EAGLE TOWNSHIP,Governor,,GRN,PAUL GLOVER,5,5,0
Clinton,0003 BALD EAGLE TOWNSHIP,Governor,,LIB,KEN V KRAWCHUK,12,12,0
Clinton,0003 BALD EAGLE TOWNSHIP,Governor,,,Write-ins,2,2,0
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. House,12,DEM,MARC FRIEDENBERG,247,238,9
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. House,12,REP,TOM MARINO,448,433,15
Clinton,0003 BALD EAGLE TOWNSHIP,U.S. House,12,,Write-ins,1,1,0
Clinton,0003 BALD EAGLE TOWNSHIP,State House,76,DEM,MIKE HANNA,351,337,14
Clinton,0003 BALD EAGLE TOWNSHIP,State House,76,REP,STEPHANIE BOROWICZ,351,340,11
Clinton,0003 BALD EAGLE TOWNSHIP,State House,76,,Write-ins,1,1,0
Clinton,0004 BEECH CREEK BOROUGH,,,,Registered Voters,416,,
Clinton,0004 BEECH CREEK BOROUGH,,,,Ballots Cast,268,265,3
Clinton,0004 BEECH CREEK BOROUGH,STRAIGHT PARTY,,DEM,DEMOCRATIC,46,45,1
Clinton,0004 BEECH CREEK BOROUGH,STRAIGHT PARTY,,REP,REPUBLICAN,88,86,2
Clinton,0004 BEECH CREEK BOROUGH,STRAIGHT PARTY,,GRN,GREEN PARTY,0,0,0
Clinton,0004 BEECH CREEK BOROUGH,STRAIGHT PARTY,,LIB,LIBERTARIAN,0,0,0
Clinton,0004 BEECH CREEK BOROUGH,U.S. Senate,,DEM,BOB CASEY JR,106,105,1
Clinton,0004 BEECH CREEK BOROUGH,U.S. Senate,,REP,LOU BARLETTA,156,151,2
Clinton,0004 BEECH CREEK BOROUGH,U.S. Senate,,GRN,NEAL GALE,1,1,0
Clinton,0004 BEECH CREEK BOROUGH,U.S. Senate,,LIB,DALE R KERNS JR,4,4,0
Clinton,0004 BEECH CREEK BOROUGH,U.S. Senate,,,Write-ins,0,0,
Clinton,0004 BEECH CREEK BOROUGH,Governor,,DEM,TOM WOLF AND JOHN FETTERMAN,109,107,1
Clinton,0004 BEECH CREEK BOROUGH,Governor,,REP,SCOTT R WAGNER AND JEFF BARTOS,153,149,2
Clinton,0004 BEECH CREEK BOROUGH,Governor,,GRN,PAUL GLOVER,1,1,0
Clinton,0004 BEECH CREEK BOROUGH,Governor,,LIB,KEN V KRAWCHUK,7,7,0
Clinton,0004 BEECH CREEK BOROUGH,Governor,,,Write-ins,0,0,0
Clinton,0004 BEECH CREEK BOROUGH,U.S. House,12,DEM,MARC FRIEDENBERG,88,87,1
Clinton,0004 BEECH CREEK BOROUGH,U.S. House,12,REP,TOM MARINO,179,174,2
Clinton,0004 BEECH CREEK BOROUGH,U.S. House,12,,Write-ins,0,0,0
Clinton,0004 BEECH CREEK BOROUGH,State House,76,DEM,MIKE HANNA,127,124,1
Clinton,0004 BEECH CREEK BOROUGH,State House,76,REP,STEPHANIE BOROWICZ,143,140,2
Clinton,0004 BEECH CREEK BOROUGH,State House,76,,Write-ins,0,0,0
Clinton,0005 BEECH CREEK TOWNSHIP,,,,Registered Voters,557,,
Clinton,0005 BEECH CREEK TOWNSHIP,,,,Ballots Cast,360,353,7
Clinton,0005 BEECH CREEK TOWNSHIP,STRAIGHT PARTY,,DEM,DEMOCRATIC,58,56,2
Clinton,0005 BEECH CREEK TOWNSHIP,STRAIGHT PARTY,,REP,REPUBLICAN,118,117,1
Clinton,0005 BEECH CREEK TOWNSHIP,STRAIGHT PARTY,,GRN,GREEN PARTY,0,0,0
Clinton,0005 BEECH CREEK TOWNSHIP,STRAIGHT PARTY,,LIB,LIBERTARIAN,2,2,0
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. Senate,,DEM,BOB CASEY JR,148,144,4
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. Senate,,REP,LOU BARLETTA,198,196,2
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. Senate,,GRN,NEAL GALE,1,1,0
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. Senate,,LIB,DALE R KERNS JR,3,3,0
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0
Clinton,0005 BEECH CREEK TOWNSHIP,Governor,,DEM,TOM WOLF AND JOHN FETTERMAN,148,144,4
Clinton,0005 BEECH CREEK TOWNSHIP,Governor,,REP,SCOTT R WAGNER AND JEFF BARTOS,205,203,2
Clinton,0005 BEECH CREEK TOWNSHIP,Governor,,GRN,PAUL GLOVER,0,0,0
Clinton,0005 BEECH CREEK TOWNSHIP,Governor,,LIB,KEN V KRAWCHUK,2,2,0
Clinton,0005 BEECH CREEK TOWNSHIP,Governor,,,Write-ins,0,0,0
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. House,12,DEM,MARC FRIEDENBERG,120,117,3
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. House,12,REP,TOM MARINO,235,232,3
Clinton,0005 BEECH CREEK TOWNSHIP,U.S. House,12,,Write-ins,0,0,0
Clinton,0005 BEECH CREEK TOWNSHIP,State House,76,DEM,MIKE HANNA,158,154,4
Clinton,0005 BEECH CREEK TOWNSHIP,State House,76,REP,STEPHANIE BOROWICZ,199,196,3
Clinton,0005 BEECH CREEK TOWNSHIP,State House,76,,Write-ins,0,0,0
Clinton,0006 CASTANEA TOWNSHIP,,,,Registered Voters,597,,
Clinton,0006 CASTANEA TOWNSHIP,,,,Ballots Cast,391,382,9
Clinton,0006 CASTANEA TOWNSHIP,STRAIGHT PARTY,,DEM,DEMOCRATIC,88,86,2
Clinton,0006 CASTANEA TOWNSHIP,STRAIGHT PARTY,,REP,REPUBLICAN,104,103,1
Clinton,0006 CASTANEA TOWNSHIP,STRAIGHT PARTY,,GRN,GREEN PARTY,0,0,0
Clinton,0006 CASTANEA TOWNSHIP,STRAIGHT PARTY,,LIB,LIBERTARIAN,1,1,0
Clinton,0006 CASTANEA TOWNSHIP,U.S. Senate,,DEM,BOB CASEY JR,184,177,7
Clinton,0006 CASTANEA TOWNSHIP,U.S. Senate,,REP,LOU BARLETTA,193,191,2
Clinton,0006 CASTANEA TOWNSHIP,U.S. Senate,,GRN,NEAL GALE,5,5,0
Clinton,0006 CASTANEA TOWNSHIP,U.S. Senate,,LIB,DALE R KERNS JR,5,5,0
Clinton,0006 CASTANEA TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0
Clinton,0006 CASTANEA TOWNSHIP,Governor,,DEM,TOM WOLF AND JOHN FETTERMAN,198,191,7
Clinton,0006 CASTANEA TOWNSHIP,Governor,,REP,SCOTT R WAGNER AND JEFF BARTOS,181,179,2
Clinton,0006 CASTANEA TOWNSHIP,Governor,,GRN,PAUL GLOVER,4,4,0
Clinton,0006 CASTANEA TOWNSHIP,Governor,,LIB,KEN V KRAWCHUK,4,4,0
Clinton,0006 CASTANEA TOWNSHIP,Governor,,,Write-ins,0,0,0
Clinton,0006 CASTANEA TOWNSHIP,U.S. House,12,DEM,MARC FRIEDENBERG,167,161,6
Clinton,0006 CASTANEA TOWNSHIP,U.S. House,12,REP,TOM MARINO,218,216,2
Clinton,0006 CASTANEA TOWNSHIP,U.S. House,12,,Write-ins,0,0,0
Clinton,0006 CASTANEA TOWNSHIP,State House,76,DEM,MIKE HANNA,214,206,8
Clinton,0006 CASTANEA TOWNSHIP,State House,76,REP,STEPHANIE BOROWICZ,173,172,1
Clinton,0006 CASTANEA TOWNSHIP,State House,76,,Write-ins,1,1,0
Clinton,0007 CHAPMAN TOWNSHIP,,,,Registered Voters,566,,
Clinton,0007 CHAPMAN TOWNSHIP,,,,Ballots Cast,353,346,7
Clinton,0007 CHAPMAN TOWNSHIP,STRAIGHT PARTY,,DEM,DEMOCRATIC,69,69,0
Clinton,0007 CHAPMAN TOWNSHIP,STRAIGHT PARTY,,REP,REPUBLICAN,107,104,3
Clinton,0007 CHAPMAN TOWNSHIP,STRAIGHT PARTY,,GRN,GREEN PARTY,0,0,0
Clinton,0007 CHAPMAN TOWNSHIP,STRAIGHT PARTY,,LIB,LIBERTARIAN,0,0,0
Clinton,0007 CHAPMAN TOWNSHIP,U.S. Senate,,DEM,BOB CASEY JR,162,160,2
Clinton,0007 CHAPMAN TOWNSHIP,U.S. Senate,,REP,LOU BARLETTA,177,172,5
Clinton,0007 CHAPMAN TOWNSHIP,U.S. Senate,,GRN,NEAL GALE,2,2,0
Clinton,0007 CHAPMAN TOWNSHIP,U.S. Senate,,LIB,DALE R KERNS JR,2,2,0
Clinton,0007 CHAPMAN TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0
Clinton,0007 CHAPMAN TOWNSHIP,Governor,,DEM,TOM WOLF AND JOHN FETTERMAN,161,159,2
Clinton,0007 CHAPMAN TOWNSHIP,Governor,,REP,SCOTT R WAGNER AND JEFF BARTOS,183,178,5
Clinton,0007 CHAPMAN TOWNSHIP,Governor,,,Write-ins,0,0,0
Clinton,0007 CHAPMAN TOWNSHIP,Governor,,GRN,PAUL GLOVER,4,4,0
Clinton,0007 CHAPMAN TOWNSHIP,Governor,,LIB,KEN V KRAWCHUK,1,1,0
Clinton,0007 CHAPMAN TOWNSHIP,U.S. House,12,DEM,MARC FRIEDENBERG,133,131,2
Clinton,0007 CHAPMAN TOWNSHIP,U.S. House,12,REP,TOM MARINO,208,203,5
Clinton,0007 CHAPMAN TOWNSHIP,U.S. House,12,,Write-ins,0,0,0
Clinton,0007 CHAPMAN TOWNSHIP,State House,76,DEM,MIKE HANNA,186,184,2
Clinton,0007 CHAPMAN TOWNSHIP,State House,76,REP,STEPHANIE BOROWICZ,165,160,5
Clinton,0007 CHAPMAN TOWNSHIP,State House,76,,Write-ins,0,0,0
Clinton,0008 COLEBROOK TOWNSHIP,,,,Registered Voters,126,,
Clinton,0008 COLEBROOK TOWNSHIP,,,,Ballots Cast,78,72,6
Clinton,0008 COLEBROOK TOWNSHIP,STRAIGHT PARTY,,DEM,DEMOCRATIC,23,19,4
Clinton,0008 COLEBROOK TOWNSHIP,STRAIGHT PARTY,,REP,REPUBLICAN,25,25,0
Clinton,0008 COLEBROOK TOWNSHIP,STRAIGHT PARTY,,GRN,GREEN PARTY,0,0,0
Clinton,0008 COLEBROOK TOWNSHIP,STRAIGHT PARTY,,LIB,LIBERTARIAN,0,0,0
Clinton,0008 COLEBROOK TOWNSHIP,U.S. Senate,,DEM,BOB CASEY JR,41,36,5
Clinton,0008 COLEBROOK TOWNSHIP,U.S. Senate,,REP,LOU BARLETTA,32,31,1
Clinton,0008 COLEBROOK TOWNSHIP,U.S. Senate,,GRN,NEAL GALE,0,0,0
Clinton,0008 COLEBROOK TOWNSHIP,U.S. Senate,,LIB,DALE R KERNS JR,1,1,0
Clinton,0008 COLEBROOK TOWNSHIP,U.S. Senate,,,Write-ins,1,1,0
Clinton,0008 COLEBROOK TOWNSHIP,Governor,,DEM,TOM WOLF AND JOHN FETTERMAN,39,34,5
Clinton,0008 COLEBROOK TOWNSHIP,Governor,,REP,SCOTT R WAGNER AND JEFF BARTOS,37,36,1
Clinton,0008 COLEBROOK TOWNSHIP,Governor,,GRN,PAUL GLOVER,0,0,0
Clinton,0008 COLEBROOK TOWNSHIP,Governor,,LIB,KEN V KRAWCHUK,0,0,0
Clinton,0008 COLEBROOK TOWNSHIP,Governor,,,Write-ins,0,0,0
Clinton,0008 COLEBROOK TOWNSHIP,U.S. House,12,DEM,MARC FRIEDENBERG,38,34,4
Clinton,0008 COLEBROOK TOWNSHIP,U.S. House,12,REP,TOM MARINO,36,34,2
Clinton,0008 COLEBROOK TOWNSHIP,U.S. House,12,,Write-ins,0,0,0
Clinton,0008 COLEBROOK TOWNSHIP,State House,76,DEM,MIKE HANNA,47,42,5
Clinton,0008 COLEBROOK TOWNSHIP,State House,76,REP,STEPHANIE BOROWICZ,30,29,1
Clinton,0008 COLEBROOK TOWNSHIP,State House,76,,Write-ins,0,0,0
Clinton,0009 CRAWFORD TOWNSHIP,,,,Registered Voters,489,,
Clinton,0009 CRAWFORD TOWNSHIP,,,,Ballots Cast,288,276,12
Clinton,0009 CRAWFORD TOWNSHIP,STRAIGHT PARTY,,DEM,DEMOCRATIC,33,26,7
Clinton,0009 CRAWFORD TOWNSHIP,STRAIGHT PARTY,,REP,REPUBLICAN,143,139,4
Clinton,0009 CRAWFORD TOWNSHIP,STRAIGHT PARTY,,GRN,GREEN PARTY,0,0,0
Clinton,0009 CRAWFORD TOWNSHIP,STRAIGHT PARTY,,LIB,LIBERTARIAN,1,1,0
Clinton,0009 CRAWFORD TOWNSHIP,U.S. Senate,,DEM,BOB CASEY JR,62,55,7
Clinton,0009 CRAWFORD TOWNSHIP,U.S. Senate,,REP,LOU BARLETTA,213,208,5
Clinton,0009 CRAWFORD TOWNSHIP,U.S. Senate,,GRN,NEAL GALE,1,1,0
Clinton,0009 CRAWFORD TOWNSHIP,U.S. Senate,,LIB,DALE R KERNS JR,3,3,0
Clinton,0009 CRAWFORD TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0
Clinton,0009 CRAWFORD TOWNSHIP,Governor,,DEM,TOM WOLF AND JOHN FETTERMAN,68,62,6
Clinton,0009 CRAWFORD TOWNSHIP,Governor,,REP,SCOTT R WAGNER AND JEFF BARTOS,213,208,5
Clinton,0009 CRAWFORD TOWNSHIP,Governor,,GRN,PAUL GLOVER,0,0,0
Clinton,0009 CRAWFORD TOWNSHIP,Governor,,LIB,KEN V KRAWCHUK,4,3,1
Clinton,0009 CRAWFORD TOWNSHIP,Governor,,,Write-ins,0,0,0
Clinton,0009 CRAWFORD TOWNSHIP,U.S. House,12,DEM,MARC FRIEDENBERG,61,54,7
Clinton,0009 CRAWFORD TOWNSHIP,U.S. House,12,REP,TOM MARINO,223,219,4
Clinton,0009 CRAWFORD TOWNSHIP,U.S. House,12,,Write-ins,1,0,1
Clinton,0009 CRAWFORD TOWNSHIP,State House,76,DEM,MIKE HANNA,77,70,7
Clinton,0009 CRAWFORD TOWNSHIP,State House,76,REP,STEPHANIE BOROWICZ,207,202,5
Clinton,0009 CRAWFORD TOWNSHIP,State House,76,,Write-ins,1,1,0
Clinton,0010 DUNNSTABLE TOWNSHIP,,,,Registered Voters,614,,
Clinton,0010 DUNNSTABLE TOWNSHIP,,,,Ballots Cast,430,414,16
Clinton,0010 DUNNSTABLE TOWNSHIP,STRAIGHT PARTY,,DEM,DEMOCRATIC,71,67,4
Clinton,0010 DUNNSTABLE TOWNSHIP,STRAIGHT PARTY,,REP,REPUBLICAN,139,135,4
Clinton,0010 DUNNSTABLE TOWNSHIP,STRAIGHT PARTY,,GRN,GREEN PARTY,0,0,0
Clinton,0010 DUNNSTABLE TOWNSHIP,STRAIGHT PARTY,,LIB,LIBERTARIAN,0,0,0
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. Senate,,DEM,BOB CASEY JR,164,152,12
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. Senate,,REP,LOU BARLETTA,250,246,4
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. Senate,,GRN,NEAL GALE,4,4,0
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. Senate,,LIB,DALE R KERNS JR,2,2,0
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. Senate,,,Write-ins,1,1,0
Clinton,0010 DUNNSTABLE TOWNSHIP,Governor,,DEM,TOM WOLF AND JOHN FETTERMAN,179,168,11
Clinton,0010 DUNNSTABLE TOWNSHIP,Governor,,REP,SCOTT R WAGNER AND JEFF BARTOS,244,239,5
Clinton,0010 DUNNSTABLE TOWNSHIP,Governor,,GRN,PAUL GLOVER,2,2,0
Clinton,0010 DUNNSTABLE TOWNSHIP,Governor,,LIB,KEN V KRAWCHUK,0,0,0
Clinton,0010 DUNNSTABLE TOWNSHIP,Governor,,,Write-ins,0,0,0
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. House,12,DEM,MARC FRIEDENBERG,144,135,9
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. House,12,REP,TOM MARINO,275,268,7
Clinton,0010 DUNNSTABLE TOWNSHIP,U.S. House,12,,Write-ins,1,1,0
Clinton,0010 DUNNSTABLE TOWNSHIP,State House,76,DEM,MIKE HANNA,186,175,11
Clinton,0010 DUNNSTABLE TOWNSHIP,State House,76,REP,STEPHANIE BOROWICZ,239,234,5
Clinton,0010 DUNNSTABLE TOWNSHIP,State House,76,,Write-ins,1,1,0
Clinton,0015 EAST KEATING TOWNSHIP,,,,Registered Voters,7,,
Clinton,0015 EAST KEATING TOWNSHIP,,,,Ballots Cast,6,4,2
Clinton,0015 EAST KEATING TOWNSHIP,STRAIGHT PARTY,,DEM,DEMOCRATIC,0,0,0
Clinton,0015 EAST KEATING TOWNSHIP,STRAIGHT PARTY,,REP,REPUBLICAN,4,4,0
Clinton,0015 EAST KEATING TOWNSHIP,STRAIGHT PARTY,,GRN,GREEN PARTY,0,0,0
Clinton,0015 EAST KEATING TOWNSHIP,STRAIGHT PARTY,,LIB,LIBERTARIAN,0,0,0
Clinton,0015 EAST KEATING TOWNSHIP,U.S. Senate,,DEM,BOB CASEY JR,2,0,2
Clinton,0015 EAST KEATING TOWNSHIP,U.S. Senate,,REP,LOU BARLETTA,4,4,0
Clinton,0015 EAST KEATING TOWNSHIP,U.S. Senate,,GRN,NEAL GALE,0,0,0
Clinton,0015 EAST KEATING TOWNSHIP,U.S. Senate,,LIB,DALE R KERNS JR,0,0,0
Clinton,0015 EAST KEATING TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0
Clinton,0015 EAST KEATING TOWNSHIP,Governor,,DEM,TOM WOLF AND JOHN FETTERMAN,2,0,2
Clinton,0015 EAST KEATING TOWNSHIP,Governor,,REP,SCOTT R WAGNER AND JEFF BARTOS,4,4,0
Clinton,0015 EAST KEATING TOWNSHIP,Governor,,GRN,PAUL GLOVER,0,0,0
Clinton,0015 EAST KEATING TOWNSHIP,Governor,,LIB,KEN V KRAWCHUK,0,0,0
Clinton,0015 EAST KEATING TOWNSHIP,Governor,,,Write-ins,0,0,0
Clinton,0015 EAST KEATING TOWNSHIP,U.S. House,12,DEM,MARC FRIEDENBERG,0,0,0
Clinton,0015 EAST KEATING TOWNSHIP,U.S. House,12,REP,TOM MARINO,6,4,2
Clinton,0015 EAST KEATING TOWNSHIP,U.S. House,12,,Write-ins,0,0,0
Clinton,0015 EAST KEATING TOWNSHIP,State House,76,DEM,MIKE HANNA,0,0,0
Clinton,0015 EAST KEATING TOWNSHIP,State House,76,REP,STEPHANIE BOROWICZ,6,4,2
Clinton,0015 EAST KEATING TOWNSHIP,State House,76,,Write-ins,0,0,0
Clinton,0011 FLEMINGTON BOROUGH,,,,Registered Voters,751,,
Clinton,0011 FLEMINGTON BOROUGH,,,,Ballots Cast,481,466,15
Clinton,0011 FLEMINGTON BOROUGH,STRAIGHT PARTY,,DEM,DEMOCRATIC,105,101,4
Clinton,0011 FLEMINGTON BOROUGH,STRAIGHT PARTY,,REP,REPUBLICAN,119,114,5
Clinton,0011 FLEMINGTON BOROUGH,STRAIGHT PARTY,,GRN,GREEN PARTY,0,0,0
Clinton,0011 FLEMINGTON BOROUGH,STRAIGHT PARTY,,LIB,LIBERTARIAN,3,3,0
