county,precinct,office,district,party,candidate,total,election day,mail votes,provisional votes
Juniata,BEALE,President,,DEM,JOSEPH R. BIDEN,57,37,19,1
Juniata,BEALE,President,,REP,DONALD J. TRUMP,328,293,33,2
Juniata,BEALE,President,,LIB,JO JORGENSEN,10,9,1,0
Juniata,BEALE,President,,Write In,Write-In Totals,3,2,1,0
Juniata,BEALE,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,75,53,21,1
Juniata,BEALE,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,301,270,29,2
Juniata,BEALE,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,8,6,2,0
Juniata,BEALE,ATTORNEY GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,BEALE,AUDITOR GENERAL,,DEM,NINA AHMAD,60,36,23,1
Juniata,BEALE,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,306,279,26,1
Juniata,BEALE,AUDITOR GENERAL,,LIB,JENNIFER MOORE,14,13,1,0
Juniata,BEALE,AUDITOR GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,BEALE,STATE TREASURER,,DEM,JOE TORSELLA,61,39,22,0
Juniata,BEALE,STATE TREASURER,,REP,STACY L. GARRITY,310,280,29,1
Juniata,BEALE,STATE TREASURER,,LIB,JOE SOLOSKI,8,8,0,0
Juniata,BEALE,STATE TREASURER,,Write In,Write-In Totals,0,0,0,0
Juniata,BEALE,U.S. House,15TH,DEM,LEE GRIFFIN,61,41,19,1
Juniata,BEALE,U.S. House,15TH,REP,FRED KELLER,326,290,34,2
Juniata,BEALE,U.S. House,15TH,Write In,Write-In Totals,0,0,0,0
Juniata,BEALE,State House,82ND,REP,JOHN HERSHEY,364,317,45,2
Juniata,BEALE,State House,82ND,Write In,Write-In Totals,5,4,1,0
Juniata,DELAWARE,President,,DEM,JOSEPH R. BIDEN,152,66,85,1
Juniata,DELAWARE,President,,REP,DONALD J. TRUMP,672,581,84,7
Juniata,DELAWARE,President,,LIB,JO JORGENSEN,11,6,5,0
Juniata,DELAWARE,President,,Write In,Write-In Totals,2,0,2,0
Juniata,DELAWARE,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,156,77,77,2
Juniata,DELAWARE,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,642,551,85,6
Juniata,DELAWARE,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,12,7,5,0
Juniata,DELAWARE,ATTORNEY GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,DELAWARE,AUDITOR GENERAL,,DEM,NINA AHMAD,130,58,70,2
Juniata,DELAWARE,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,653,558,89,6
Juniata,DELAWARE,AUDITOR GENERAL,,LIB,JENNIFER MOORE,17,13,4,0
Juniata,DELAWARE,AUDITOR GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,DELAWARE,STATE TREASURER,,DEM,JOE TORSELLA,144,73,69,2
Juniata,DELAWARE,STATE TREASURER,,REP,STACY L. GARRITY,647,549,92,6
Juniata,DELAWARE,STATE TREASURER,,LIB,JOE SOLOSKI,15,11,4,0
Juniata,DELAWARE,STATE TREASURER,,Write In,Write-In Totals,0,0,0,0
Juniata,DELAWARE,U.S. House,15TH,DEM,LEE GRIFFIN,138,66,70,2
Juniata,DELAWARE,U.S. House,15TH,REP,FRED KELLER,683,577,100,6
Juniata,DELAWARE,U.S. House,15TH,Write In,Write-In Totals,1,0,1,0
Juniata,DELAWARE,State House,82ND,REP,JOHN HERSHEY,754,614,134,6
Juniata,DELAWARE,State House,82ND,Write In,Write-In Totals,20,13,7,0
Juniata,FAYETTE,President,,DEM,JOSEPH R. BIDEN,268,134,131,3
Juniata,FAYETTE,President,,REP,DONALD J. TRUMP,"1,488","1,274",206,8
Juniata,FAYETTE,President,,LIB,JO JORGENSEN,22,20,2,0
Juniata,FAYETTE,President,,Write In,Write-In Totals,7,6,1,0
Juniata,FAYETTE,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,315,177,136,2
Juniata,FAYETTE,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,"1,396","1,193",194,9
Juniata,FAYETTE,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,32,30,2,0
Juniata,FAYETTE,ATTORNEY GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,FAYETTE,AUDITOR GENERAL,,DEM,NINA AHMAD,238,118,118,2
Juniata,FAYETTE,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,"1,448","1,234",205,9
Juniata,FAYETTE,AUDITOR GENERAL,,LIB,JENNIFER MOORE,55,47,8,0
Juniata,FAYETTE,AUDITOR GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,FAYETTE,STATE TREASURER,,DEM,JOE TORSELLA,257,139,116,2
Juniata,FAYETTE,STATE TREASURER,,REP,STACY L. GARRITY,"1,448","1,233",207,8
Juniata,FAYETTE,STATE TREASURER,,LIB,JOE SOLOSKI,33,28,5,0
Juniata,FAYETTE,STATE TREASURER,,Write In,Write-In Totals,0,0,0,0
Juniata,FAYETTE,U.S. House,15TH,DEM,LEE GRIFFIN,243,124,117,2
Juniata,FAYETTE,U.S. House,15TH,REP,FRED KELLER,"1,525","1,296",220,9
Juniata,FAYETTE,U.S. House,15TH,Write In,Write-In Totals,2,2,0,0
Juniata,FAYETTE,State House,82ND,REP,JOHN HERSHEY,"1,661","1,377",274,10
Juniata,FAYETTE,State House,82ND,Write In,Write-In Totals,27,14,13,0
Juniata,FERMANAGH,President,,DEM,JOSEPH R. BIDEN,340,138,200,2
Juniata,FERMANAGH,President,,REP,DONALD J. TRUMP,"1,181",971,200,10
Juniata,FERMANAGH,President,,LIB,JO JORGENSEN,15,8,6,1
Juniata,FERMANAGH,President,,Write In,Write-In Totals,4,3,1,0
Juniata,FERMANAGH,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,393,181,209,3
Juniata,FERMANAGH,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,"1,091",897,186,8
Juniata,FERMANAGH,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,24,19,5,0
Juniata,FERMANAGH,ATTORNEY GENERAL,,Write In,Write-In Totals,2,1,1,0
Juniata,FERMANAGH,AUDITOR GENERAL,,DEM,NINA AHMAD,304,127,175,2
Juniata,FERMANAGH,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,"1,147",928,211,8
Juniata,FERMANAGH,AUDITOR GENERAL,,LIB,JENNIFER MOORE,38,30,8,0
Juniata,FERMANAGH,AUDITOR GENERAL,,Write In,Write-In Totals,3,1,2,0
Juniata,FERMANAGH,STATE TREASURER,,DEM,JOE TORSELLA,336,146,188,2
Juniata,FERMANAGH,STATE TREASURER,,REP,STACY L. GARRITY,"1,121",914,199,8
Juniata,FERMANAGH,STATE TREASURER,,LIB,JOE SOLOSKI,29,22,6,1
Juniata,FERMANAGH,STATE TREASURER,,Write In,Write-In Totals,3,1,2,0
Juniata,FERMANAGH,U.S. House,15TH,DEM,LEE GRIFFIN,308,124,182,2
Juniata,FERMANAGH,U.S. House,15TH,REP,FRED KELLER,"1,199",975,215,9
Juniata,FERMANAGH,U.S. House,15TH,Write In,Write-In Totals,4,1,3,0
Juniata,FERMANAGH,State House,82ND,REP,JOHN HERSHEY,"1,353","1,031",310,12
Juniata,FERMANAGH,State House,82ND,Write In,Write-In Totals,52,19,33,0
Juniata,GREENWOOD,President,,DEM,JOSEPH R. BIDEN,50,31,18,1
Juniata,GREENWOOD,President,,REP,DONALD J. TRUMP,266,230,33,3
Juniata,GREENWOOD,President,,LIB,JO JORGENSEN,2,2,0,0
Juniata,GREENWOOD,President,,Write In,Write-In Totals,1,0,1,0
Juniata,GREENWOOD,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,56,37,18,1
Juniata,GREENWOOD,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,258,224,31,3
Juniata,GREENWOOD,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,3,1,2,0
Juniata,GREENWOOD,ATTORNEY GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,GREENWOOD,AUDITOR GENERAL,,DEM,NINA AHMAD,47,31,15,1
Juniata,GREENWOOD,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,257,223,31,3
Juniata,GREENWOOD,AUDITOR GENERAL,,LIB,JENNIFER MOORE,9,7,2,0
Juniata,GREENWOOD,AUDITOR GENERAL,,Write In,Write-In Totals,1,0,1,0
Juniata,GREENWOOD,STATE TREASURER,,DEM,JOE TORSELLA,53,35,17,1
Juniata,GREENWOOD,STATE TREASURER,,REP,STACY L. GARRITY,258,226,29,3
Juniata,GREENWOOD,STATE TREASURER,,LIB,JOE SOLOSKI,3,1,2,0
Juniata,GREENWOOD,STATE TREASURER,,Write In,Write-In Totals,0,0,0,0
Juniata,GREENWOOD,U.S. House,15TH,DEM,LEE GRIFFIN,48,30,17,1
Juniata,GREENWOOD,U.S. House,15TH,REP,FRED KELLER,269,232,34,3
Juniata,GREENWOOD,U.S. House,15TH,Write In,Write-In Totals,0,0,0,0
Juniata,GREENWOOD,State House,82ND,REP,JOHN HERSHEY,279,238,38,3
Juniata,GREENWOOD,State House,82ND,Write In,Write-In Totals,10,4,6,0
Juniata,LACK,President,,DEM,JOSEPH R. BIDEN,51,24,27,0
Juniata,LACK,President,,REP,DONALD J. TRUMP,261,227,30,4
Juniata,LACK,President,,LIB,JO JORGENSEN,4,3,1,0
Juniata,LACK,President,,Write In,Write-In Totals,1,1,0,0
Juniata,LACK,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,65,38,27,0
Juniata,LACK,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,231,202,25,4
Juniata,LACK,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,7,4,3,0
Juniata,LACK,ATTORNEY GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,LACK,AUDITOR GENERAL,,DEM,NINA AHMAD,45,22,23,0
Juniata,LACK,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,246,214,28,4
Juniata,LACK,AUDITOR GENERAL,,LIB,JENNIFER MOORE,8,5,3,0
Juniata,LACK,AUDITOR GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,LACK,STATE TREASURER,,DEM,JOE TORSELLA,51,30,21,0
Juniata,LACK,STATE TREASURER,,REP,STACY L. GARRITY,246,210,32,4
Juniata,LACK,STATE TREASURER,,LIB,JOE SOLOSKI,5,4,1,0
Juniata,LACK,STATE TREASURER,,Write In,Write-In Totals,0,0,0,0
Juniata,LACK,U.S. House,15TH,DEM,LEE GRIFFIN,48,27,21,0
Juniata,LACK,U.S. House,15TH,REP,FRED KELLER,260,221,35,4
Juniata,LACK,U.S. House,15TH,Write In,Write-In Totals,0,0,0,0
Juniata,LACK,State House,82ND,REP,JOHN HERSHEY,288,232,52,4
Juniata,LACK,State House,82ND,Write In,Write-In Totals,3,3,0,0
Juniata,MIFFLIN,President,,DEM,JOSEPH R. BIDEN,42,23,19,0
Juniata,MIFFLIN,President,,REP,DONALD J. TRUMP,143,131,11,1
Juniata,MIFFLIN,President,,LIB,JO JORGENSEN,1,1,0,0
Juniata,MIFFLIN,President,,Write In,Write-In Totals,0,0,0,0
Juniata,MIFFLIN,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,50,32,18,0
Juniata,MIFFLIN,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,132,120,11,1
Juniata,MIFFLIN,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,1,1,0,0
Juniata,MIFFLIN,ATTORNEY GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,MIFFLIN,AUDITOR GENERAL,,DEM,NINA AHMAD,40,24,16,0
Juniata,MIFFLIN,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,137,124,12,1
Juniata,MIFFLIN,AUDITOR GENERAL,,LIB,JENNIFER MOORE,9,7,2,0
Juniata,MIFFLIN,AUDITOR GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,MIFFLIN,STATE TREASURER,,DEM,JOE TORSELLA,41,25,16,0
Juniata,MIFFLIN,STATE TREASURER,,REP,STACY L. GARRITY,139,126,12,1
Juniata,MIFFLIN,STATE TREASURER,,LIB,JOE SOLOSKI,1,0,1,0
Juniata,MIFFLIN,STATE TREASURER,,Write In,Write-In Totals,0,0,0,0
Juniata,MIFFLIN,U.S. House,15TH,DEM,LEE GRIFFIN,40,22,18,0
Juniata,MIFFLIN,U.S. House,15TH,REP,FRED KELLER,146,133,12,1
Juniata,MIFFLIN,U.S. House,15TH,Write In,Write-In Totals,0,0,0,0
Juniata,MIFFLIN,State House,82ND,REP,JOHN HERSHEY,154,133,20,1
Juniata,MIFFLIN,State House,82ND,Write In,Write-In Totals,11,6,5,0
Juniata,MIFFLINTOWN,President,,DEM,JOSEPH R. BIDEN,108,59,48,1
Juniata,MIFFLINTOWN,President,,REP,DONALD J. TRUMP,202,173,26,3
Juniata,MIFFLINTOWN,President,,LIB,JO JORGENSEN,9,9,0,0
Juniata,MIFFLINTOWN,President,,Write In,Write-In Totals,0,0,0,0
Juniata,MIFFLINTOWN,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,127,77,49,1
Juniata,MIFFLINTOWN,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,174,149,22,3
Juniata,MIFFLINTOWN,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,10,9,1,0
Juniata,MIFFLINTOWN,ATTORNEY GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,MIFFLINTOWN,AUDITOR GENERAL,,DEM,NINA AHMAD,95,56,38,1
Juniata,MIFFLINTOWN,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,193,162,28,3
Juniata,MIFFLINTOWN,AUDITOR GENERAL,,LIB,JENNIFER MOORE,16,13,3,0
Juniata,MIFFLINTOWN,AUDITOR GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,MIFFLINTOWN,STATE TREASURER,,DEM,JOE TORSELLA,106,61,44,1
Juniata,MIFFLINTOWN,STATE TREASURER,,REP,STACY L. GARRITY,186,158,25,3
Juniata,MIFFLINTOWN,STATE TREASURER,,LIB,JOE SOLOSKI,12,10,2,0
Juniata,MIFFLINTOWN,STATE TREASURER,,Write In,Write-In Totals,0,0,0,0
Juniata,MIFFLINTOWN,U.S. House,15TH,DEM,LEE GRIFFIN,97,56,40,1
Juniata,MIFFLINTOWN,U.S. House,15TH,REP,FRED KELLER,213,179,31,3
Juniata,MIFFLINTOWN,U.S. House,15TH,Write In,Write-In Totals,0,0,0,0
Juniata,MIFFLINTOWN,State House,82ND,REP,JOHN HERSHEY,256,213,40,3
Juniata,MIFFLINTOWN,State House,82ND,Write In,Write-In Totals,12,7,5,0
Juniata,MILFORD,President,,DEM,JOSEPH R. BIDEN,284,131,151,2
Juniata,MILFORD,President,,REP,DONALD J. TRUMP,789,653,129,7
Juniata,MILFORD,President,,LIB,JO JORGENSEN,10,4,5,1
Juniata,MILFORD,President,,Write In,Write-In Totals,2,0,2,0
Juniata,MILFORD,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,325,171,152,2
Juniata,MILFORD,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,734,598,129,7
Juniata,MILFORD,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,11,7,3,1
Juniata,MILFORD,ATTORNEY GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,MILFORD,AUDITOR GENERAL,,DEM,NINA AHMAD,271,128,141,2
Juniata,MILFORD,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,762,630,125,7
Juniata,MILFORD,AUDITOR GENERAL,,LIB,JENNIFER MOORE,31,16,14,1
Juniata,MILFORD,AUDITOR GENERAL,,Write In,Write-In Totals,0,0,0,0
Juniata,MILFORD,STATE TREASURER,,DEM,JOE TORSELLA,300,150,148,2
Juniata,MILFORD,STATE TREASURER,,REP,STACY L. GARRITY,752,614,130,8
Juniata,MILFORD,STATE TREASURER,,LIB,JOE SOLOSKI,7,7,0,0
Juniata,MILFORD,STATE TREASURER,,Write In,Write-In Totals,0,0,0,0
Juniata,MILFORD,U.S. House,15TH,DEM,LEE GRIFFIN,294,142,151,1
Juniata,MILFORD,U.S. House,15TH,REP,FRED KELLER,775,637,129,9
Juniata,MILFORD,U.S. House,15TH,Write In,Write-In Totals,4,2,2,0
Juniata,MILFORD,State House,82ND,REP,JOHN HERSHEY,940,715,216,9
Juniata,MILFORD,State House,82ND,Write In,Write-In Totals,32,11,21,0
Juniata,MONROE,President,,DEM,JOSEPH R. BIDEN,144,71,73,0
Juniata,MONROE,President,,REP,DONALD J. TRUMP,934,822,102,10
Juniata,MONROE,President,,LIB,JO JORGENSEN,10,9,1,0
