candidate,office,district,party,county,precinct,votes,election_day,mail,provisional
Registered Voters,,,,Wayne,Berlin Township #1,940,,,
Ballots Cast,,,,Wayne,Berlin Township #1,743,,,
Joseph R Biden,President,,,Wayne,Berlin Township #1,188,79,108,1
Donald J Trump,President,,,Wayne,Berlin Township #1,541,482,54,5
Jo Jorgensen,President,,,Wayne,Berlin Township #1,5,4,1,0
Write-Ins,President,,,Wayne,Berlin Township #1,2,0,2,0
Over Votes,President,,,Wayne,Berlin Township #1,3,,,
Under Votes,President,,,Wayne,Berlin Township #1,4,,,
Josh Shapiro,Attorney General,,,Wayne,Berlin Township #1,191,84,106,1
Heather Heidelbaugh,Attorney General,,,Wayne,Berlin Township #1,520,463,52,5
Daniel Wassmer,Attorney General,,,Wayne,Berlin Township #1,8,6,2,0
Richard L Weiss,Attorney General,,,Wayne,Berlin Township #1,3,2,1,0
Write-Ins,Attorney General,,,Wayne,Berlin Township #1,0,0,0,0
Over Votes,Attorney General,,,Wayne,Berlin Township #1,2,,,
Under Votes,Attorney General,,,Wayne,Berlin Township #1,19,,,
Nina Ahmad,Auditor General,,,Wayne,Berlin Township #1,167,75,92,0
Timothy Defoor,Auditor General,,,Wayne,Berlin Township #1,521,460,56,5
Jennifer Moore,Auditor General,,,Wayne,Berlin Township #1,23,14,9,0
Olivia Faison,Auditor General,,,Wayne,Berlin Township #1,7,5,2,0
Write-Ins,Auditor General,,,Wayne,Berlin Township #1,0,0,0,0
Over Votes,Auditor General,,,Wayne,Berlin Township #1,2,,,
Under Votes,Auditor General,,,Wayne,Berlin Township #1,23,,,
Joe Torsella,State Treasurer,,,Wayne,Berlin Township #1,167,73,94,0
Stacy L Garrity,State Treasurer,,,Wayne,Berlin Township #1,534,474,55,5
Joe Soloski,State Treasurer,,,Wayne,Berlin Township #1,12,7,5,0
Timothy Runkle,State Treasurer,,,Wayne,Berlin Township #1,8,3,5,0
Write-Ins,State Treasurer,,,Wayne,Berlin Township #1,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Berlin Township #1,2,,,
Under Votes,State Treasurer,,,Wayne,Berlin Township #1,20,,,
Matt Cartwright,U.S. House,8,,Wayne,Berlin Township #1,195,88,106,1
Jim Bognet,U.S. House,8,,Wayne,Berlin Township #1,527,467,55,5
Write-Ins,U.S. House,8,,Wayne,Berlin Township #1,0,0,0,0
Over Votes,U.S. House,8,,Wayne,Berlin Township #1,2,,,
Under Votes,U.S. House,8,,Wayne,Berlin Township #1,19,,,
Marian Keegan,State Representative,139,,Wayne,Berlin Township #1,160,68,92,0
Mike Peifer,State Representative,139,,Wayne,Berlin Township #1,557,483,69,5
Write-Ins,State Representative,139,,Wayne,Berlin Township #1,1,1,0,0
Over Votes,State Representative,139,,Wayne,Berlin Township #1,3,,,
Under Votes,State Representative,139,,Wayne,Berlin Township #1,22,,,
Registered Voters,,,,Wayne,Berlin Township #2,905,,,
Ballots Cast,,,,Wayne,Berlin Township #2,780,,,
Joseph R Biden,President,,,Wayne,Berlin Township #2,176,64,110,2
Donald J Trump,President,,,Wayne,Berlin Township #2,596,481,112,3
Jo Jorgensen,President,,,Wayne,Berlin Township #2,6,4,1,1
Write-Ins,President,,,Wayne,Berlin Township #2,1,1,0,0
Over Votes,President,,,Wayne,Berlin Township #2,0,,,
Under Votes,President,,,Wayne,Berlin Township #2,1,,,
Josh Shapiro,Attorney General,,,Wayne,Berlin Township #2,200,74,123,3
Heather Heidelbaugh,Attorney General,,,Wayne,Berlin Township #2,556,456,97,3
Daniel Wassmer,Attorney General,,,Wayne,Berlin Township #2,5,5,0,0
Richard L Weiss,Attorney General,,,Wayne,Berlin Township #2,3,2,1,0
Write-Ins,Attorney General,,,Wayne,Berlin Township #2,0,0,0,0
Over Votes,Attorney General,,,Wayne,Berlin Township #2,0,,,
Under Votes,Attorney General,,,Wayne,Berlin Township #2,16,,,
Nina Ahmad,Auditor General,,,Wayne,Berlin Township #2,165,59,104,2
Timothy Defoor,Auditor General,,,Wayne,Berlin Township #2,568,460,104,4
Jennifer Moore,Auditor General,,,Wayne,Berlin Township #2,15,10,5,0
Olivia Faison,Auditor General,,,Wayne,Berlin Township #2,9,4,5,0
Write-Ins,Auditor General,,,Wayne,Berlin Township #2,0,0,0,0
Over Votes,Auditor General,,,Wayne,Berlin Township #2,0,,,
Under Votes,Auditor General,,,Wayne,Berlin Township #2,23,,,
Joe Torsella,State Treasurer,,,Wayne,Berlin Township #2,155,56,97,2
Stacy L Garrity,State Treasurer,,,Wayne,Berlin Township #2,592,468,120,4
Joe Soloski,State Treasurer,,,Wayne,Berlin Township #2,10,9,1,0
Timothy Runkle,State Treasurer,,,Wayne,Berlin Township #2,6,3,3,0
Write-Ins,State Treasurer,,,Wayne,Berlin Township #2,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Berlin Township #2,0,,,
Under Votes,State Treasurer,,,Wayne,Berlin Township #2,17,,,
Matt Cartwright,U.S. House,8,,Wayne,Berlin Township #2,183,69,112,2
Jim Bognet,U.S. House,8,,Wayne,Berlin Township #2,585,473,108,4
Write-Ins,U.S. House,8,,Wayne,Berlin Township #2,0,0,0,0
Over Votes,U.S. House,8,,Wayne,Berlin Township #2,1,,,
Under Votes,U.S. House,8,,Wayne,Berlin Township #2,11,,,
Marian Keegan,State Representative,139,,Wayne,Berlin Township #2,140,45,93,2
Mike Peifer,State Representative,139,,Wayne,Berlin Township #2,622,491,128,3
Write-Ins,State Representative,139,,Wayne,Berlin Township #2,0,0,0,0
Over Votes,State Representative,139,,Wayne,Berlin Township #2,0,,,
Under Votes,State Representative,139,,Wayne,Berlin Township #2,18,,,
Registered Voters,,,,Wayne,Bethany Borough,206,,,
Ballots Cast,,,,Wayne,Bethany Borough,171,,,
Joseph R Biden,President,,,Wayne,Bethany Borough,67,26,41,0
Donald J Trump,President,,,Wayne,Bethany Borough,101,81,16,4
Jo Jorgensen,President,,,Wayne,Bethany Borough,3,2,1,0
Write-Ins,President,,,Wayne,Bethany Borough,0,0,0,0
Over Votes,President,,,Wayne,Bethany Borough,0,,,
Under Votes,President,,,Wayne,Bethany Borough,0,,,
Josh Shapiro,Attorney General,,,Wayne,Bethany Borough,60,25,35,0
Heather Heidelbaugh,Attorney General,,,Wayne,Bethany Borough,98,76,18,4
Daniel Wassmer,Attorney General,,,Wayne,Bethany Borough,5,3,2,0
Richard L Weiss,Attorney General,,,Wayne,Bethany Borough,3,2,1,0
Write-Ins,Attorney General,,,Wayne,Bethany Borough,0,0,0,0
Over Votes,Attorney General,,,Wayne,Bethany Borough,0,,,
Under Votes,Attorney General,,,Wayne,Bethany Borough,5,,,
Nina Ahmad,Auditor General,,,Wayne,Bethany Borough,49,17,32,0
Timothy Defoor,Auditor General,,,Wayne,Bethany Borough,103,81,18,4
Jennifer Moore,Auditor General,,,Wayne,Bethany Borough,10,6,4,0
Olivia Faison,Auditor General,,,Wayne,Bethany Borough,1,1,0,0
Write-Ins,Auditor General,,,Wayne,Bethany Borough,0,0,0,0
Over Votes,Auditor General,,,Wayne,Bethany Borough,0,,,
Under Votes,Auditor General,,,Wayne,Bethany Borough,8,,,
Joe Torsella,State Treasurer,,,Wayne,Bethany Borough,52,20,32,0
Stacy L Garrity,State Treasurer,,,Wayne,Bethany Borough,107,82,21,4
Joe Soloski,State Treasurer,,,Wayne,Bethany Borough,6,4,2,0
Timothy Runkle,State Treasurer,,,Wayne,Bethany Borough,1,0,1,0
Write-Ins,State Treasurer,,,Wayne,Bethany Borough,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Bethany Borough,0,,,
Under Votes,State Treasurer,,,Wayne,Bethany Borough,5,,,
Matt Cartwright,U.S. House,8,,Wayne,Bethany Borough,71,28,43,0
Jim Bognet,U.S. House,8,,Wayne,Bethany Borough,97,79,14,4
Write-Ins,U.S. House,8,,Wayne,Bethany Borough,0,0,0,0
Over Votes,U.S. House,8,,Wayne,Bethany Borough,0,,,
Under Votes,U.S. House,8,,Wayne,Bethany Borough,3,,,
Jonathan Fritz,State Representative,111,,Wayne,Bethany Borough,149,103,42,4
Write-Ins,State Representative,111,,Wayne,Bethany Borough,5,2,3,0
Over Votes,State Representative,111,,Wayne,Bethany Borough,0,,,
Under Votes,State Representative,111,,Wayne,Bethany Borough,17,,,
Registered Voters,,,,Wayne,Buckingham Township,378,,,
Ballots Cast,,,,Wayne,Buckingham Township,307,,,
Joseph R Biden,President,,,Wayne,Buckingham Township,110,56,54,0
Donald J Trump,President,,,Wayne,Buckingham Township,193,153,39,1
Jo Jorgensen,President,,,Wayne,Buckingham Township,3,3,0,0
Write-Ins,President,,,Wayne,Buckingham Township,0,0,0,0
Over Votes,President,,,Wayne,Buckingham Township,0,,,
Under Votes,President,,,Wayne,Buckingham Township,1,,,
Josh Shapiro,Attorney General,,,Wayne,Buckingham Township,110,62,48,0
Heather Heidelbaugh,Attorney General,,,Wayne,Buckingham Township,184,146,37,1
Daniel Wassmer,Attorney General,,,Wayne,Buckingham Township,1,0,1,0
Richard L Weiss,Attorney General,,,Wayne,Buckingham Township,4,1,3,0
Write-Ins,Attorney General,,,Wayne,Buckingham Township,0,0,0,0
Over Votes,Attorney General,,,Wayne,Buckingham Township,0,,,
Under Votes,Attorney General,,,Wayne,Buckingham Township,8,,,
Nina Ahmad,Auditor General,,,Wayne,Buckingham Township,101,57,44,0
Timothy Defoor,Auditor General,,,Wayne,Buckingham Township,180,141,38,1
Jennifer Moore,Auditor General,,,Wayne,Buckingham Township,7,5,2,0
Olivia Faison,Auditor General,,,Wayne,Buckingham Township,8,4,4,0
Write-Ins,Auditor General,,,Wayne,Buckingham Township,0,0,0,0
Over Votes,Auditor General,,,Wayne,Buckingham Township,0,,,
Under Votes,Auditor General,,,Wayne,Buckingham Township,11,,,
Joe Torsella,State Treasurer,,,Wayne,Buckingham Township,97,55,42,0
Stacy L Garrity,State Treasurer,,,Wayne,Buckingham Township,193,151,41,1
Joe Soloski,State Treasurer,,,Wayne,Buckingham Township,1,0,1,0
Timothy Runkle,State Treasurer,,,Wayne,Buckingham Township,8,3,5,0
Write-Ins,State Treasurer,,,Wayne,Buckingham Township,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Buckingham Township,0,,,
Under Votes,State Treasurer,,,Wayne,Buckingham Township,8,,,
Matt Cartwright,U.S. House,8,,Wayne,Buckingham Township,117,65,52,0
Jim Bognet,U.S. House,8,,Wayne,Buckingham Township,183,147,35,1
Write-Ins,U.S. House,8,,Wayne,Buckingham Township,0,0,0,0
Over Votes,U.S. House,8,,Wayne,Buckingham Township,1,,,
Under Votes,U.S. House,8,,Wayne,Buckingham Township,6,,,
Jonathan Fritz,State Representative,111,,Wayne,Buckingham Township,235,176,58,1
Write-Ins,State Representative,111,,Wayne,Buckingham Township,16,5,11,0
Over Votes,State Representative,111,,Wayne,Buckingham Township,0,,,
Under Votes,State Representative,111,,Wayne,Buckingham Township,56,,,
Registered Voters,,,,Wayne,Canaan Township,649,,,
Ballots Cast,,,,Wayne,Canaan Township,533,,,
Joseph R Biden,President,,,Wayne,Canaan Township,154,65,87,2
Donald J Trump,President,,,Wayne,Canaan Township,374,332,42,0
Jo Jorgensen,President,,,Wayne,Canaan Township,3,2,1,0
Write-Ins,President,,,Wayne,Canaan Township,1,1,0,0
Over Votes,President,,,Wayne,Canaan Township,1,,,
Under Votes,President,,,Wayne,Canaan Township,0,,,
Josh Shapiro,Attorney General,,,Wayne,Canaan Township,167,85,80,2
Heather Heidelbaugh,Attorney General,,,Wayne,Canaan Township,340,293,47,0
Daniel Wassmer,Attorney General,,,Wayne,Canaan Township,4,3,1,0
Richard L Weiss,Attorney General,,,Wayne,Canaan Township,8,6,2,0
Write-Ins,Attorney General,,,Wayne,Canaan Township,0,0,0,0
Over Votes,Attorney General,,,Wayne,Canaan Township,2,,,
Under Votes,Attorney General,,,Wayne,Canaan Township,12,,,
Nina Ahmad,Auditor General,,,Wayne,Canaan Township,137,68,67,2
Timothy Defoor,Auditor General,,,Wayne,Canaan Township,355,302,53,0
Jennifer Moore,Auditor General,,,Wayne,Canaan Township,12,8,4,0
Olivia Faison,Auditor General,,,Wayne,Canaan Township,9,7,2,0
Write-Ins,Auditor General,,,Wayne,Canaan Township,0,0,0,0
Over Votes,Auditor General,,,Wayne,Canaan Township,0,,,
Under Votes,Auditor General,,,Wayne,Canaan Township,20,,,
Joe Torsella,State Treasurer,,,Wayne,Canaan Township,137,65,70,2
Stacy L Garrity,State Treasurer,,,Wayne,Canaan Township,362,312,50,0
Joe Soloski,State Treasurer,,,Wayne,Canaan Township,8,6,2,0
Timothy Runkle,State Treasurer,,,Wayne,Canaan Township,7,4,3,0
Write-Ins,State Treasurer,,,Wayne,Canaan Township,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Canaan Township,1,,,
Under Votes,State Treasurer,,,Wayne,Canaan Township,18,,,
Matt Cartwright,U.S. House,8,,Wayne,Canaan Township,171,83,86,2
Jim Bognet,U.S. House,8,,Wayne,Canaan Township,355,311,44,0
Write-Ins,U.S. House,8,,Wayne,Canaan Township,0,0,0,0
Over Votes,U.S. House,8,,Wayne,Canaan Township,1,,,
Under Votes,U.S. House,8,,Wayne,Canaan Township,6,,,
Jonathan Fritz,State Representative,111,,Wayne,Canaan Township,469,369,99,1
Write-Ins,State Representative,111,,Wayne,Canaan Township,9,3,6,0
Over Votes,State Representative,111,,Wayne,Canaan Township,0,,,
Under Votes,State Representative,111,,Wayne,Canaan Township,55,,,
Registered Voters,,,,Wayne,Che Ridge Township,1327,,,
Ballots Cast,,,,Wayne,Che Ridge Township,1100,,,
Joseph R Biden,President,,,Wayne,Che Ridge Township,370,147,221,2
Donald J Trump,President,,,Wayne,Che Ridge Township,711,592,116,3
Jo Jorgensen,President,,,Wayne,Che Ridge Township,13,9,4,0
Write-Ins,President,,,Wayne,Che Ridge Township,3,2,1,0
Over Votes,President,,,Wayne,Che Ridge Township,0,,,
Under Votes,President,,,Wayne,Che Ridge Township,3,,,
Josh Shapiro,Attorney General,,,Wayne,Che Ridge Township,377,159,216,2
Heather Heidelbaugh,Attorney General,,,Wayne,Che Ridge Township,670,558,109,3
Daniel Wassmer,Attorney General,,,Wayne,Che Ridge Township,17,10,7,0
Richard L Weiss,Attorney General,,,Wayne,Che Ridge Township,11,7,4,0
Write-Ins,Attorney General,,,Wayne,Che Ridge Township,0,0,0,0
Over Votes,Attorney General,,,Wayne,Che Ridge Township,0,,,
Under Votes,Attorney General,,,Wayne,Che Ridge Township,25,,,
Nina Ahmad,Auditor General,,,Wayne,Che Ridge Township,322,125,195,2
Timothy Defoor,Auditor General,,,Wayne,Che Ridge Township,691,568,120,3
Jennifer Moore,Auditor General,,,Wayne,Che Ridge Township,31,23,8,0
Olivia Faison,Auditor General,,,Wayne,Che Ridge Township,11,8,3,0
Write-Ins,Auditor General,,,Wayne,Che Ridge Township,0,0,0,0
Over Votes,Auditor General,,,Wayne,Che Ridge Township,0,,,
Under Votes,Auditor General,,,Wayne,Che Ridge Township,45,,,
Joe Torsella,State Treasurer,,,Wayne,Che Ridge Township,313,121,190,2
Stacy L Garrity,State Treasurer,,,Wayne,Che Ridge Township,724,595,126,3
Joe Soloski,State Treasurer,,,Wayne,Che Ridge Township,18,11,7,0
Timothy Runkle,State Treasurer,,,Wayne,Che Ridge Township,12,7,5,0
Write-Ins,State Treasurer,,,Wayne,Che Ridge Township,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Che Ridge Township,0,,,
Under Votes,State Treasurer,,,Wayne,Che Ridge Township,33,,,
Matt Cartwright,U.S. House,8,,Wayne,Che Ridge Township,383,150,230,3
Jim Bognet,U.S. House,8,,Wayne,Che Ridge Township,698,588,108,2
Write-Ins,U.S. House,8,,Wayne,Che Ridge Township,2,2,0,0
Over Votes,U.S. House,8,,Wayne,Che Ridge Township,0,,,
Under Votes,U.S. House,8,,Wayne,Che Ridge Township,17,,,
Marian Keegan,State Representative,139,,Wayne,Che Ridge Township,287,111,174,2
Mike Peifer,State Representative,139,,Wayne,Che Ridge Township,786,623,160,3
Write-Ins,State Representative,139,,Wayne,Che Ridge Township,2,2,0,0
Over Votes,State Representative,139,,Wayne,Che Ridge Township,0,,,
Under Votes,State Representative,139,,Wayne,Che Ridge Township,25,,,
Registered Voters,,,,Wayne,Clinton Township #1,923,,,
Ballots Cast,,,,Wayne,Clinton Township #1,772,,,
Joseph R Biden,President,,,Wayne,Clinton Township #1,227,103,123,1
Donald J Trump,President,,,Wayne,Clinton Township #1,538,460,72,6
Jo Jorgensen,President,,,Wayne,Clinton Township #1,6,5,1,0
Write-Ins,President,,,Wayne,Clinton Township #1,1,0,1,0
Over Votes,President,,,Wayne,Clinton Township #1,0,,,
Under Votes,President,,,Wayne,Clinton Township #1,0,,,
Josh Shapiro,Attorney General,,,Wayne,Clinton Township #1,254,131,122,1
Heather Heidelbaugh,Attorney General,,,Wayne,Clinton Township #1,476,407,63,6
Daniel Wassmer,Attorney General,,,Wayne,Clinton Township #1,20,15,5,0
Richard L Weiss,Attorney General,,,Wayne,Clinton Township #1,7,6,1,0
Write-Ins,Attorney General,,,Wayne,Clinton Township #1,0,0,0,0
Over Votes,Attorney General,,,Wayne,Clinton Township #1,0,,,
Under Votes,Attorney General,,,Wayne,Clinton Township #1,15,,,
Nina Ahmad,Auditor General,,,Wayne,Clinton Township #1,204,99,104,1
Timothy Defoor,Auditor General,,,Wayne,Clinton Township #1,502,424,74,4
Jennifer Moore,Auditor General,,,Wayne,Clinton Township #1,29,24,4,1
Olivia Faison,Auditor General,,,Wayne,Clinton Township #1,9,6,3,0
Write-Ins,Auditor General,,,Wayne,Clinton Township #1,0,0,0,0
Over Votes,Auditor General,,,Wayne,Clinton Township #1,0,,,
Under Votes,Auditor General,,,Wayne,Clinton Township #1,28,,,
Joe Torsella,State Treasurer,,,Wayne,Clinton Township #1,212,110,101,1
Stacy L Garrity,State Treasurer,,,Wayne,Clinton Township #1,515,429,80,6
Joe Soloski,State Treasurer,,,Wayne,Clinton Township #1,16,13,3,0
Timothy Runkle,State Treasurer,,,Wayne,Clinton Township #1,8,5,3,0
Write-Ins,State Treasurer,,,Wayne,Clinton Township #1,1,0,1,0
Over Votes,State Treasurer,,,Wayne,Clinton Township #1,0,,,
Under Votes,State Treasurer,,,Wayne,Clinton Township #1,20,,,
Matt Cartwright,U.S. House,8,,Wayne,Clinton Township #1,249,128,121,0
Jim Bognet,U.S. House,8,,Wayne,Clinton Township #1,512,435,70,7
Write-Ins,U.S. House,8,,Wayne,Clinton Township #1,1,0,1,0
Over Votes,U.S. House,8,,Wayne,Clinton Township #1,0,,,
Under Votes,U.S. House,8,,Wayne,Clinton Township #1,10,,,
Jonathan Fritz,State Representative,111,,Wayne,Clinton Township #1,680,532,142,6
Write-Ins,State Representative,111,,Wayne,Clinton Township #1,17,6,11,0
Over Votes,State Representative,111,,Wayne,Clinton Township #1,0,,,
Under Votes,State Representative,111,,Wayne,Clinton Township #1,75,,,
Registered Voters,,,,Wayne,Clinton Township #2,551,,,
Ballots Cast,,,,Wayne,Clinton Township #2,467,,,
Joseph R Biden,President,,,Wayne,Clinton Township #2,166,105,58,3
Donald J Trump,President,,,Wayne,Clinton Township #2,296,243,48,5
Jo Jorgensen,President,,,Wayne,Clinton Township #2,2,2,0,0
Write-Ins,President,,,Wayne,Clinton Township #2,2,1,1,0
Over Votes,President,,,Wayne,Clinton Township #2,0,,,
Under Votes,President,,,Wayne,Clinton Township #2,1,,,
Josh Shapiro,Attorney General,,,Wayne,Clinton Township #2,187,125,60,2
Heather Heidelbaugh,Attorney General,,,Wayne,Clinton Township #2,261,212,44,5
Daniel Wassmer,Attorney General,,,Wayne,Clinton Township #2,3,3,0,0
Richard L Weiss,Attorney General,,,Wayne,Clinton Township #2,8,4,3,1
Write-Ins,Attorney General,,,Wayne,Clinton Township #2,0,0,0,0
Over Votes,Attorney General,,,Wayne,Clinton Township #2,0,,,
Under Votes,Attorney General,,,Wayne,Clinton Township #2,8,,,
Nina Ahmad,Auditor General,,,Wayne,Clinton Township #2,162,105,54,3
Timothy Defoor,Auditor General,,,Wayne,Clinton Township #2,280,226,49,5
Jennifer Moore,Auditor General,,,Wayne,Clinton Township #2,9,7,2,0
Olivia Faison,Auditor General,,,Wayne,Clinton Township #2,4,2,2,0
Write-Ins,Auditor General,,,Wayne,Clinton Township #2,0,0,0,0
Over Votes,Auditor General,,,Wayne,Clinton Township #2,0,,,
Under Votes,Auditor General,,,Wayne,Clinton Township #2,12,,,
Joe Torsella,State Treasurer,,,Wayne,Clinton Township #2,164,108,53,3
Stacy L Garrity,State Treasurer,,,Wayne,Clinton Township #2,284,229,50,5
Joe Soloski,State Treasurer,,,Wayne,Clinton Township #2,2,2,0,0
Timothy Runkle,State Treasurer,,,Wayne,Clinton Township #2,4,1,3,0
Write-Ins,State Treasurer,,,Wayne,Clinton Township #2,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Clinton Township #2,0,,,
Under Votes,State Treasurer,,,Wayne,Clinton Township #2,13,,,
Matt Cartwright,U.S. House,8,,Wayne,Clinton Township #2,182,119,60,3
Jim Bognet,U.S. House,8,,Wayne,Clinton Township #2,276,226,45,5
Write-Ins,U.S. House,8,,Wayne,Clinton Township #2,2,0,2,0
Over Votes,U.S. House,8,,Wayne,Clinton Township #2,0,,,
Under Votes,U.S. House,8,,Wayne,Clinton Township #2,7,,,
Jonathan Fritz,State Representative,111,,Wayne,Clinton Township #2,369,290,73,6
Write-Ins,State Representative,111,,Wayne,Clinton Township #2,13,8,5,0
Over Votes,State Representative,111,,Wayne,Clinton Township #2,0,,,
Under Votes,State Representative,111,,Wayne,Clinton Township #2,85,,,
Registered Voters,,,,Wayne,Dam Township #1,1110,,,
Ballots Cast,,,,Wayne,Dam Township #1,894,,,
Joseph R Biden,President,,,Wayne,Dam Township #1,287,112,173,2
Donald J Trump,President,,,Wayne,Dam Township #1,601,504,94,3
Jo Jorgensen,President,,,Wayne,Dam Township #1,5,5,0,0
Write-Ins,President,,,Wayne,Dam Township #1,1,1,0,0
Over Votes,President,,,Wayne,Dam Township #1,0,,,
Under Votes,President,,,Wayne,Dam Township #1,0,,,
Josh Shapiro,Attorney General,,,Wayne,Dam Township #1,272,112,158,2
Heather Heidelbaugh,Attorney General,,,Wayne,Dam Township #1,582,482,97,3
Daniel Wassmer,Attorney General,,,Wayne,Dam Township #1,9,6,3,0
Richard L Weiss,Attorney General,,,Wayne,Dam Township #1,8,5,3,0
Write-Ins,Attorney General,,,Wayne,Dam Township #1,0,0,0,0
Over Votes,Attorney General,,,Wayne,Dam Township #1,0,,,
Under Votes,Attorney General,,,Wayne,Dam Township #1,23,,,
Nina Ahmad,Auditor General,,,Wayne,Dam Township #1,248,95,151,2
Timothy Defoor,Auditor General,,,Wayne,Dam Township #1,583,481,100,2
Jennifer Moore,Auditor General,,,Wayne,Dam Township #1,24,21,3,0
Olivia Faison,Auditor General,,,Wayne,Dam Township #1,19,12,6,1
Write-Ins,Auditor General,,,Wayne,Dam Township #1,0,0,0,0
Over Votes,Auditor General,,,Wayne,Dam Township #1,0,,,
Under Votes,Auditor General,,,Wayne,Dam Township #1,20,,,
Joe Torsella,State Treasurer,,,Wayne,Dam Township #1,246,93,151,2
Stacy L Garrity,State Treasurer,,,Wayne,Dam Township #1,602,498,101,3
Joe Soloski,State Treasurer,,,Wayne,Dam Township #1,14,12,2,0
Timothy Runkle,State Treasurer,,,Wayne,Dam Township #1,12,6,6,0
Write-Ins,State Treasurer,,,Wayne,Dam Township #1,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Dam Township #1,0,,,
Under Votes,State Treasurer,,,Wayne,Dam Township #1,20,,,
Matt Cartwright,U.S. House,8,,Wayne,Dam Township #1,289,117,170,2
Jim Bognet,U.S. House,8,,Wayne,Dam Township #1,591,493,95,3
Write-Ins,U.S. House,8,,Wayne,Dam Township #1,0,0,0,0
