candidate,office,district,party,county,precinct,votes,election_day,mail,provisional
Over Votes,U.S. House,8,,Wayne,Dam Township #1,0,,,
Under Votes,U.S. House,8,,Wayne,Dam Township #1,14,,,
Marian Keegan,State Representative,139,,Wayne,Dam Township #1,240,91,148,1
Mike Peifer,State Representative,139,,Wayne,Dam Township #1,633,516,114,3
Write-Ins,State Representative,139,,Wayne,Dam Township #1,1,1,0,0
Over Votes,State Representative,139,,Wayne,Dam Township #1,0,,,
Under Votes,State Representative,139,,Wayne,Dam Township #1,20,,,
Registered Voters,,,,Wayne,Dam Township #2,1594,,,
Ballots Cast,,,,Wayne,Dam Township #2,1308,,,
Joseph R Biden,President,,,Wayne,Dam Township #2,433,151,281,1
Donald J Trump,President,,,Wayne,Dam Township #2,857,688,163,6
Jo Jorgensen,President,,,Wayne,Dam Township #2,8,5,3,0
Write-Ins,President,,,Wayne,Dam Township #2,5,2,3,0
Over Votes,President,,,Wayne,Dam Township #2,1,,,
Under Votes,President,,,Wayne,Dam Township #2,4,,,
Josh Shapiro,Attorney General,,,Wayne,Dam Township #2,452,173,278,1
Heather Heidelbaugh,Attorney General,,,Wayne,Dam Township #2,800,639,155,6
Daniel Wassmer,Attorney General,,,Wayne,Dam Township #2,19,12,7,0
Richard L Weiss,Attorney General,,,Wayne,Dam Township #2,17,8,8,1
Write-Ins,Attorney General,,,Wayne,Dam Township #2,0,0,0,0
Over Votes,Attorney General,,,Wayne,Dam Township #2,1,,,
Under Votes,Attorney General,,,Wayne,Dam Township #2,19,,,
Nina Ahmad,Auditor General,,,Wayne,Dam Township #2,387,135,251,1
Timothy Defoor,Auditor General,,,Wayne,Dam Township #2,822,655,161,6
Jennifer Moore,Auditor General,,,Wayne,Dam Township #2,40,23,17,0
Olivia Faison,Auditor General,,,Wayne,Dam Township #2,20,12,7,1
Write-Ins,Auditor General,,,Wayne,Dam Township #2,2,0,2,0
Over Votes,Auditor General,,,Wayne,Dam Township #2,1,,,
Under Votes,Auditor General,,,Wayne,Dam Township #2,36,,,
Joe Torsella,State Treasurer,,,Wayne,Dam Township #2,398,139,258,1
Stacy L Garrity,State Treasurer,,,Wayne,Dam Township #2,844,666,172,6
Joe Soloski,State Treasurer,,,Wayne,Dam Township #2,14,10,4,0
Timothy Runkle,State Treasurer,,,Wayne,Dam Township #2,19,9,9,1
Write-Ins,State Treasurer,,,Wayne,Dam Township #2,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Dam Township #2,0,,,
Under Votes,State Treasurer,,,Wayne,Dam Township #2,33,,,
Matt Cartwright,U.S. House,8,,Wayne,Dam Township #2,466,175,289,2
Jim Bognet,U.S. House,8,,Wayne,Dam Township #2,820,661,153,6
Write-Ins,U.S. House,8,,Wayne,Dam Township #2,2,0,2,0
Over Votes,U.S. House,8,,Wayne,Dam Township #2,0,,,
Under Votes,U.S. House,8,,Wayne,Dam Township #2,20,,,
Marian Keegan,State Representative,139,,Wayne,Dam Township #2,381,139,241,1
Mike Peifer,State Representative,139,,Wayne,Dam Township #2,904,694,203,7
Write-Ins,State Representative,139,,Wayne,Dam Township #2,3,2,1,0
Over Votes,State Representative,139,,Wayne,Dam Township #2,0,,,
Under Votes,State Representative,139,,Wayne,Dam Township #2,20,,,
Registered Voters,,,,Wayne,Dreher Township,962,,,
Ballots Cast,,,,Wayne,Dreher Township,767,,,
Joseph R Biden,President,,,Wayne,Dreher Township,248,116,126,6
Donald J Trump,President,,,Wayne,Dreher Township,503,437,60,6
Jo Jorgensen,President,,,Wayne,Dreher Township,10,7,3,0
Write-Ins,President,,,Wayne,Dreher Township,1,0,1,0
Over Votes,President,,,Wayne,Dreher Township,2,,,
Under Votes,President,,,Wayne,Dreher Township,3,,,
Josh Shapiro,Attorney General,,,Wayne,Dreher Township,257,124,127,6
Heather Heidelbaugh,Attorney General,,,Wayne,Dreher Township,464,407,51,6
Daniel Wassmer,Attorney General,,,Wayne,Dreher Township,12,10,2,0
Richard L Weiss,Attorney General,,,Wayne,Dreher Township,12,5,7,0
Write-Ins,Attorney General,,,Wayne,Dreher Township,0,0,0,0
Over Votes,Attorney General,,,Wayne,Dreher Township,0,,,
Under Votes,Attorney General,,,Wayne,Dreher Township,22,,,
Nina Ahmad,Auditor General,,,Wayne,Dreher Township,229,109,115,5
Timothy Defoor,Auditor General,,,Wayne,Dreher Township,484,413,65,6
Jennifer Moore,Auditor General,,,Wayne,Dreher Township,20,15,5,0
Olivia Faison,Auditor General,,,Wayne,Dreher Township,8,4,3,1
Write-Ins,Auditor General,,,Wayne,Dreher Township,2,2,0,0
Over Votes,Auditor General,,,Wayne,Dreher Township,0,,,
Under Votes,Auditor General,,,Wayne,Dreher Township,24,,,
Joe Torsella,State Treasurer,,,Wayne,Dreher Township,233,111,117,5
Stacy L Garrity,State Treasurer,,,Wayne,Dreher Township,488,420,63,5
Joe Soloski,State Treasurer,,,Wayne,Dreher Township,16,11,4,1
Timothy Runkle,State Treasurer,,,Wayne,Dreher Township,9,4,4,1
Write-Ins,State Treasurer,,,Wayne,Dreher Township,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Dreher Township,0,,,
Under Votes,State Treasurer,,,Wayne,Dreher Township,21,,,
Matt Cartwright,U.S. House,8,,Wayne,Dreher Township,262,127,130,5
Jim Bognet,U.S. House,8,,Wayne,Dreher Township,488,425,56,7
Write-Ins,U.S. House,8,,Wayne,Dreher Township,4,2,2,0
Over Votes,U.S. House,8,,Wayne,Dreher Township,1,,,
Under Votes,U.S. House,8,,Wayne,Dreher Township,12,,,
Marian Keegan,State Representative,139,,Wayne,Dreher Township,194,79,110,5
Mike Peifer,State Representative,139,,Wayne,Dreher Township,552,467,78,7
Write-Ins,State Representative,139,,Wayne,Dreher Township,2,2,0,0
Over Votes,State Representative,139,,Wayne,Dreher Township,0,,,
Under Votes,State Representative,139,,Wayne,Dreher Township,19,,,
Registered Voters,,,,Wayne,Dyberry Township,1038,,,
Ballots Cast,,,,Wayne,Dyberry Township,873,,,
Joseph R Biden,President,,,Wayne,Dyberry Township,312,104,208,0
Donald J Trump,President,,,Wayne,Dyberry Township,546,443,97,6
Jo Jorgensen,President,,,Wayne,Dyberry Township,11,8,3,0
Write-Ins,President,,,Wayne,Dyberry Township,0,0,0,0
Over Votes,President,,,Wayne,Dyberry Township,1,,,
Under Votes,President,,,Wayne,Dyberry Township,3,,,
Josh Shapiro,Attorney General,,,Wayne,Dyberry Township,334,125,208,1
Heather Heidelbaugh,Attorney General,,,Wayne,Dyberry Township,501,407,89,5
Daniel Wassmer,Attorney General,,,Wayne,Dyberry Township,15,10,5,0
Richard L Weiss,Attorney General,,,Wayne,Dyberry Township,5,3,2,0
Write-Ins,Attorney General,,,Wayne,Dyberry Township,0,0,0,0
Over Votes,Attorney General,,,Wayne,Dyberry Township,1,,,
Under Votes,Attorney General,,,Wayne,Dyberry Township,17,,,
Nina Ahmad,Auditor General,,,Wayne,Dyberry Township,278,92,186,0
Timothy Defoor,Auditor General,,,Wayne,Dyberry Township,539,429,105,5
Jennifer Moore,Auditor General,,,Wayne,Dyberry Township,18,13,5,0
Olivia Faison,Auditor General,,,Wayne,Dyberry Township,6,4,2,0
Write-Ins,Auditor General,,,Wayne,Dyberry Township,0,0,0,0
Over Votes,Auditor General,,,Wayne,Dyberry Township,1,,,
Under Votes,Auditor General,,,Wayne,Dyberry Township,31,,,
Joe Torsella,State Treasurer,,,Wayne,Dyberry Township,293,100,192,1
Stacy L Garrity,State Treasurer,,,Wayne,Dyberry Township,538,433,100,5
Joe Soloski,State Treasurer,,,Wayne,Dyberry Township,9,7,2,0
Timothy Runkle,State Treasurer,,,Wayne,Dyberry Township,9,4,5,0
Write-Ins,State Treasurer,,,Wayne,Dyberry Township,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Dyberry Township,1,,,
Under Votes,State Treasurer,,,Wayne,Dyberry Township,23,,,
Matt Cartwright,U.S. House,8,,Wayne,Dyberry Township,326,120,206,0
Jim Bognet,U.S. House,8,,Wayne,Dyberry Township,533,431,96,6
Write-Ins,U.S. House,8,,Wayne,Dyberry Township,0,0,0,0
Over Votes,U.S. House,8,,Wayne,Dyberry Township,1,,,
Under Votes,U.S. House,8,,Wayne,Dyberry Township,13,,,
Jonathan Fritz,State Representative,111,,Wayne,Dyberry Township,714,509,199,6
Write-Ins,State Representative,111,,Wayne,Dyberry Township,38,6,32,0
Over Votes,State Representative,111,,Wayne,Dyberry Township,1,,,
Under Votes,State Representative,111,,Wayne,Dyberry Township,120,,,
Registered Voters,,,,Wayne,Hawley Borough,839,,,
Ballots Cast,,,,Wayne,Hawley Borough,631,,,
Joseph R Biden,President,,,Wayne,Hawley Borough,267,109,151,7
Donald J Trump,President,,,Wayne,Hawley Borough,353,289,58,6
Jo Jorgensen,President,,,Wayne,Hawley Borough,8,4,3,1
Write-Ins,President,,,Wayne,Hawley Borough,3,2,1,0
Over Votes,President,,,Wayne,Hawley Borough,0,,,
Under Votes,President,,,Wayne,Hawley Borough,0,,,
Josh Shapiro,Attorney General,,,Wayne,Hawley Borough,269,116,147,6
Heather Heidelbaugh,Attorney General,,,Wayne,Hawley Borough,331,269,56,6
Daniel Wassmer,Attorney General,,,Wayne,Hawley Borough,9,4,4,1
Richard L Weiss,Attorney General,,,Wayne,Hawley Borough,9,6,3,0
Write-Ins,Attorney General,,,Wayne,Hawley Borough,0,0,0,0
Over Votes,Attorney General,,,Wayne,Hawley Borough,0,,,
Under Votes,Attorney General,,,Wayne,Hawley Borough,13,,,
Nina Ahmad,Auditor General,,,Wayne,Hawley Borough,232,93,132,7
Timothy Defoor,Auditor General,,,Wayne,Hawley Borough,341,275,61,5
Jennifer Moore,Auditor General,,,Wayne,Hawley Borough,22,13,8,1
Olivia Faison,Auditor General,,,Wayne,Hawley Borough,12,8,4,0
Write-Ins,Auditor General,,,Wayne,Hawley Borough,0,0,0,0
Over Votes,Auditor General,,,Wayne,Hawley Borough,1,,,
Under Votes,Auditor General,,,Wayne,Hawley Borough,23,,,
Joe Torsella,State Treasurer,,,Wayne,Hawley Borough,236,95,134,7
Stacy L Garrity,State Treasurer,,,Wayne,Hawley Borough,345,281,59,5
Joe Soloski,State Treasurer,,,Wayne,Hawley Borough,14,8,5,1
Timothy Runkle,State Treasurer,,,Wayne,Hawley Borough,12,6,6,0
Write-Ins,State Treasurer,,,Wayne,Hawley Borough,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Hawley Borough,2,,,
Under Votes,State Treasurer,,,Wayne,Hawley Borough,22,,,
Matt Cartwright,U.S. House,8,,Wayne,Hawley Borough,282,123,151,8
Jim Bognet,U.S. House,8,,Wayne,Hawley Borough,335,270,60,5
Write-Ins,U.S. House,8,,Wayne,Hawley Borough,2,2,0,0
Over Votes,U.S. House,8,,Wayne,Hawley Borough,0,,,
Under Votes,U.S. House,8,,Wayne,Hawley Borough,12,,,
Marian Keegan,State Representative,139,,Wayne,Hawley Borough,212,82,124,6
Mike Peifer,State Representative,139,,Wayne,Hawley Borough,400,307,86,7
Write-Ins,State Representative,139,,Wayne,Hawley Borough,1,1,0,0
Over Votes,State Representative,139,,Wayne,Hawley Borough,1,,,
Under Votes,State Representative,139,,Wayne,Hawley Borough,17,,,
Registered Voters,,,,Wayne,Hon Borough #1,906,,,
Ballots Cast,,,,Wayne,Hon Borough #1,624,,,
Joseph R Biden,President,,,Wayne,Hon Borough #1,259,112,146,1
Donald J Trump,President,,,Wayne,Hon Borough #1,356,280,71,5
Jo Jorgensen,President,,,Wayne,Hon Borough #1,4,3,1,0
Write-Ins,President,,,Wayne,Hon Borough #1,0,0,0,0
Over Votes,President,,,Wayne,Hon Borough #1,0,,,
Under Votes,President,,,Wayne,Hon Borough #1,5,,,
Josh Shapiro,Attorney General,,,Wayne,Hon Borough #1,252,119,132,1
Heather Heidelbaugh,Attorney General,,,Wayne,Hon Borough #1,331,251,75,5
Daniel Wassmer,Attorney General,,,Wayne,Hon Borough #1,14,7,7,0
Richard L Weiss,Attorney General,,,Wayne,Hon Borough #1,8,7,1,0
Write-Ins,Attorney General,,,Wayne,Hon Borough #1,1,0,1,0
Over Votes,Attorney General,,,Wayne,Hon Borough #1,0,,,
Under Votes,Attorney General,,,Wayne,Hon Borough #1,18,,,
Nina Ahmad,Auditor General,,,Wayne,Hon Borough #1,216,91,124,1
Timothy Defoor,Auditor General,,,Wayne,Hon Borough #1,338,259,74,5
Jennifer Moore,Auditor General,,,Wayne,Hon Borough #1,31,20,11,0
Olivia Faison,Auditor General,,,Wayne,Hon Borough #1,10,8,2,0
Write-Ins,Auditor General,,,Wayne,Hon Borough #1,1,1,0,0
Over Votes,Auditor General,,,Wayne,Hon Borough #1,0,,,
Under Votes,Auditor General,,,Wayne,Hon Borough #1,28,,,
Joe Torsella,State Treasurer,,,Wayne,Hon Borough #1,218,96,121,1
Stacy L Garrity,State Treasurer,,,Wayne,Hon Borough #1,347,265,77,5
Joe Soloski,State Treasurer,,,Wayne,Hon Borough #1,23,14,9,0
Timothy Runkle,State Treasurer,,,Wayne,Hon Borough #1,8,5,3,0
Write-Ins,State Treasurer,,,Wayne,Hon Borough #1,1,0,1,0
Over Votes,State Treasurer,,,Wayne,Hon Borough #1,1,,,
Under Votes,State Treasurer,,,Wayne,Hon Borough #1,26,,,
Matt Cartwright,U.S. House,8,,Wayne,Hon Borough #1,273,123,149,1
Jim Bognet,U.S. House,8,,Wayne,Hon Borough #1,332,259,68,5
Write-Ins,U.S. House,8,,Wayne,Hon Borough #1,1,0,1,0
Over Votes,U.S. House,8,,Wayne,Hon Borough #1,1,,,
Under Votes,U.S. House,8,,Wayne,Hon Borough #1,17,,,
Jonathan Fritz,State Representative,111,,Wayne,Hon Borough #1,503,340,158,5
Write-Ins,State Representative,111,,Wayne,Hon Borough #1,31,10,20,1
Over Votes,State Representative,111,,Wayne,Hon Borough #1,0,,,
Under Votes,State Representative,111,,Wayne,Hon Borough #1,90,,,
Registered Voters,,,,Wayne,Hon Borough #2,1097,,,
Ballots Cast,,,,Wayne,Hon Borough #2,804,,,
Joseph R Biden,President,,,Wayne,Hon Borough #2,391,128,260,3
Donald J Trump,President,,,Wayne,Hon Borough #2,397,326,65,6
Jo Jorgensen,President,,,Wayne,Hon Borough #2,14,10,4,0
Write-Ins,President,,,Wayne,Hon Borough #2,1,1,0,0
Over Votes,President,,,Wayne,Hon Borough #2,0,,,
Under Votes,President,,,Wayne,Hon Borough #2,1,,,
Josh Shapiro,Attorney General,,,Wayne,Hon Borough #2,382,138,241,3
Heather Heidelbaugh,Attorney General,,,Wayne,Hon Borough #2,384,305,73,6
Daniel Wassmer,Attorney General,,,Wayne,Hon Borough #2,10,6,4,0
Richard L Weiss,Attorney General,,,Wayne,Hon Borough #2,9,5,4,0
Write-Ins,Attorney General,,,Wayne,Hon Borough #2,1,1,0,0
Over Votes,Attorney General,,,Wayne,Hon Borough #2,1,,,
Under Votes,Attorney General,,,Wayne,Hon Borough #2,17,109,224,3
Nina Ahmad,Auditor General,,,Wayne,Hon Borough #2,336,109,224,3
Timothy Defoor,Auditor General,,,Wayne,Hon Borough #2,403,316,81,6
Jennifer Moore,Auditor General,,,Wayne,Hon Borough #2,29,20,9,0
Olivia Faison,Auditor General,,,Wayne,Hon Borough #2,11,6,5,0
Write-Ins,Auditor General,,,Wayne,Hon Borough #2,3,3,0,0
Over Votes,Auditor General,,,Wayne,Hon Borough #2,0,,,
Under Votes,Auditor General,,,Wayne,Hon Borough #2,22,,,
Joe Torsella,State Treasurer,,,Wayne,Hon Borough #2,340,119,218,3
Stacy L Garrity,State Treasurer,,,Wayne,Hon Borough #2,409,316,87,6
Joe Soloski,State Treasurer,,,Wayne,Hon Borough #2,15,10,5,0
Timothy Runkle,State Treasurer,,,Wayne,Hon Borough #2,12,5,7,0
Write-Ins,State Treasurer,,,Wayne,Hon Borough #2,1,1,0,0
Over Votes,State Treasurer,,,Wayne,Hon Borough #2,1,,,
Under Votes,State Treasurer,,,Wayne,Hon Borough #2,26,,,
Matt Cartwright,U.S. House,8,,Wayne,Hon Borough #2,405,141,261,3
Jim Bognet,U.S. House,8,,Wayne,Hon Borough #2,383,315,62,6
Write-Ins,U.S. House,8,,Wayne,Hon Borough #2,1,1,0,0
Over Votes,U.S. House,8,,Wayne,Hon Borough #2,0,,,
Under Votes,U.S. House,8,,Wayne,Hon Borough #2,15,,,
Jonathan Fritz,State Representative,111,,Wayne,Hon Borough #2,590,399,184,7
Write-Ins,State Representative,111,,Wayne,Hon Borough #2,54,19,35,0
Over Votes,State Representative,111,,Wayne,Hon Borough #2,0,,,
Under Votes,State Representative,111,,Wayne,Hon Borough #2,160,,,
Registered Voters,,,,Wayne,Hon Borough #3,1007,,,
Ballots Cast,,,,Wayne,Hon Borough #3,774,,,
Joseph R Biden,President,,,Wayne,Hon Borough #3,301,131,169,1
Donald J Trump,President,,,Wayne,Hon Borough #3,455,391,60,4
Jo Jorgensen,President,,,Wayne,Hon Borough #3,12,11,1,0
Write-Ins,President,,,Wayne,Hon Borough #3,1,0,1,0
Over Votes,President,,,Wayne,Hon Borough #3,0,,,
Under Votes,President,,,Wayne,Hon Borough #3,5,,,
Josh Shapiro,Attorney General,,,Wayne,Hon Borough #3,304,141,162,1
Heather Heidelbaugh,Attorney General,,,Wayne,Hon Borough #3,409,348,57,4
Daniel Wassmer,Attorney General,,,Wayne,Hon Borough #3,14,12,2,0
Richard L Weiss,Attorney General,,,Wayne,Hon Borough #3,18,9,8,1
Write-Ins,Attorney General,,,Wayne,Hon Borough #3,0,0,0,0
Over Votes,Attorney General,,,Wayne,Hon Borough #3,0,,,
Under Votes,Attorney General,,,Wayne,Hon Borough #3,29,,,
Nina Ahmad,Auditor General,,,Wayne,Hon Borough #3,264,122,139,3
Timothy Defoor,Auditor General,,,Wayne,Hon Borough #3,425,353,69,3
Jennifer Moore,Auditor General,,,Wayne,Hon Borough #3,34,27,7,0
Olivia Faison,Auditor General,,,Wayne,Hon Borough #3,20,8,12,0
Write-Ins,Auditor General,,,Wayne,Hon Borough #3,0,0,0,0
Over Votes,Auditor General,,,Wayne,Hon Borough #3,1,,,
Under Votes,Auditor General,,,Wayne,Hon Borough #3,30,,,
Joe Torsella,State Treasurer,,,Wayne,Hon Borough #3,273,119,152,2
Stacy L Garrity,State Treasurer,,,Wayne,Hon Borough #3,440,374,62,4
Joe Soloski,State Treasurer,,,Wayne,Hon Borough #3,15,14,1,0
Timothy Runkle,State Treasurer,,,Wayne,Hon Borough #3,18,6,12,0
Write-Ins,State Treasurer,,,Wayne,Hon Borough #3,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Hon Borough #3,0,,,
Under Votes,State Treasurer,,,Wayne,Hon Borough #3,28,,,
Matt Cartwright,U.S. House,8,,Wayne,Hon Borough #3,326,151,173,2
Jim Bognet,U.S. House,8,,Wayne,Hon Borough #3,435,373,58,4
Write-Ins,U.S. House,8,,Wayne,Hon Borough #3,1,1,0,0
Over Votes,U.S. House,8,,Wayne,Hon Borough #3,0,,,
Under Votes,U.S. House,8,,Wayne,Hon Borough #3,12,,,
Jonathan Fritz,State Representative,111,,Wayne,Hon Borough #3,613,463,144,6
Write-Ins,State Representative,111,,Wayne,Hon Borough #3,39,14,25,0
Over Votes,State Representative,111,,Wayne,Hon Borough #3,0,,,
Under Votes,State Representative,111,,Wayne,Hon Borough #3,122,,,
Registered Voters,,,,Wayne,Lake Township,3916,,,
Ballots Cast,,,,Wayne,Lake Township,2998,,,
Joseph R Biden,President,,,Wayne,Lake Township,1003,369,629,5
Donald J Trump,President,,,Wayne,Lake Township,1954,1495,444,15
Jo Jorgensen,President,,,Wayne,Lake Township,25,17,8,0
Write-Ins,President,,,Wayne,Lake Township,8,0,8,0
Over Votes,President,,,Wayne,Lake Township,4,,,
Under Votes,President,,,Wayne,Lake Township,4,,,
Josh Shapiro,Attorney General,,,Wayne,Lake Township,1024,413,606,5
Heather Heidelbaugh,Attorney General,,,Wayne,Lake Township,1807,1388,404,15
Daniel Wassmer,Attorney General,,,Wayne,Lake Township,49,42,7,0
Richard L Weiss,Attorney General,,,Wayne,Lake Township,26,10,16,0
Write-Ins,Attorney General,,,Wayne,Lake Township,2,0,2,0
Over Votes,Attorney General,,,Wayne,Lake Township,3,,,
Under Votes,Attorney General,,,Wayne,Lake Township,87,,,
Nina Ahmad,Auditor General,,,Wayne,Lake Township,890,353,533,4
Timothy Defoor,Auditor General,,,Wayne,Lake Township,1861,1402,444,15
Jennifer Moore,Auditor General,,,Wayne,Lake Township,104,74,29,1
Olivia Faison,Auditor General,,,Wayne,Lake Township,32,13,19,0
Write-Ins,Auditor General,,,Wayne,Lake Township,2,0,2,0
Over Votes,Auditor General,,,Wayne,Lake Township,2,,,
Under Votes,Auditor General,,,Wayne,Lake Township,107,,,
Joe Torsella,State Treasurer,,,Wayne,Lake Township,909,356,549,4
Stacy L Garrity,State Treasurer,,,Wayne,Lake Township,1881,1420,445,16
Joe Soloski,State Treasurer,,,Wayne,Lake Township,69,53,16,0
Timothy Runkle,State Treasurer,,,Wayne,Lake Township,22,8,14,0
Write-Ins,State Treasurer,,,Wayne,Lake Township,2,0,2,0
Over Votes,State Treasurer,,,Wayne,Lake Township,2,,,
Under Votes,State Treasurer,,,Wayne,Lake Township,113,,,
Matt Cartwright,U.S. House,8,,Wayne,Lake Township,1089,429,655,5
Jim Bognet,U.S. House,8,,Wayne,Lake Township,1861,1426,420,15
Write-Ins,U.S. House,8,,Wayne,Lake Township,10,6,4,0
Over Votes,U.S. House,8,,Wayne,Lake Township,5,,,
Under Votes,U.S. House,8,,Wayne,Lake Township,33,,,
Jonathan Fritz,State Representative,111,,Wayne,Lake Township,2333,1636,680,17
Write-Ins,State Representative,111,,Wayne,Lake Township,111,41,69,1
Over Votes,State Representative,111,,Wayne,Lake Township,1,,,
Under Votes,State Representative,111,,Wayne,Lake Township,553,,,
Registered Voters,,,,Wayne,Lebanon Township,515,,,
Ballots Cast,,,,Wayne,Lebanon Township,416,,,
Joseph R Biden,President,,,Wayne,Lebanon Township,80,34,45,1
Donald J Trump,President,,,Wayne,Lebanon Township,331,264,64,3
Jo Jorgensen,President,,,Wayne,Lebanon Township,3,3,0,0
Write-Ins,President,,,Wayne,Lebanon Township,1,1,0,0
Over Votes,President,,,Wayne,Lebanon Township,0,,,
Under Votes,President,,,Wayne,Lebanon Township,1,,,
Josh Shapiro,Attorney General,,,Wayne,Lebanon Township,95,42,52,1
Heather Heidelbaugh,Attorney General,,,Wayne,Lebanon Township,305,247,55,3
Daniel Wassmer,Attorney General,,,Wayne,Lebanon Township,5,5,0,0
Richard L Weiss,Attorney General,,,Wayne,Lebanon Township,2,1,1,0
Write-Ins,Attorney General,,,Wayne,Lebanon Township,0,0,0,0
Over Votes,Attorney General,,,Wayne,Lebanon Township,1,,,
Under Votes,Attorney General,,,Wayne,Lebanon Township,8,,,
Nina Ahmad,Auditor General,,,Wayne,Lebanon Township,76,35,40,1
Timothy Defoor,Auditor General,,,Wayne,Lebanon Township,307,248,57,2
Jennifer Moore,Auditor General,,,Wayne,Lebanon Township,14,10,4,0
Olivia Faison,Auditor General,,,Wayne,Lebanon Township,3,0,3,0
Write-Ins,Auditor General,,,Wayne,Lebanon Township,1,1,0,0
Over Votes,Auditor General,,,Wayne,Lebanon Township,0,,,
Under Votes,Auditor General,,,Wayne,Lebanon Township,15,,,
Joe Torsella,State Treasurer,,,Wayne,Lebanon Township,71,32,38,1
Stacy L Garrity,State Treasurer,,,Wayne,Lebanon Township,329,259,67,3
Joe Soloski,State Treasurer,,,Wayne,Lebanon Township,4,4,0,0
Timothy Runkle,State Treasurer,,,Wayne,Lebanon Township,0,0,0,0
Write-Ins,State Treasurer,,,Wayne,Lebanon Township,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Lebanon Township,0,,,
Under Votes,State Treasurer,,,Wayne,Lebanon Township,12,,,
Matt Cartwright,U.S. House,8,,Wayne,Lebanon Township,94,44,49,1
Jim Bognet,U.S. House,8,,Wayne,Lebanon Township,317,255,59,3
Write-Ins,U.S. House,8,,Wayne,Lebanon Township,1,1,0,0
Over Votes,U.S. House,8,,Wayne,Lebanon Township,0,,,
Under Votes,U.S. House,8,,Wayne,Lebanon Township,4,,,
Jonathan Fritz,State Representative,111,,Wayne,Lebanon Township,364,278,82,4
Write-Ins,State Representative,111,,Wayne,Lebanon Township,9,4,5,0
Over Votes,State Representative,111,,Wayne,Lebanon Township,0,,,
Under Votes,State Representative,111,,Wayne,Lebanon Township,43,,,
Registered Voters,,,,Wayne,Lehigh Township,1420,,,
