county,precinct,office,district,party,candidate,votes,absentee,election_day,mail,provisional
Bedford,0101 Bedford Borough East Ward,Registered Voters,,,,1128,,,,
Bedford,0102 Bedford Borough West Ward,Registered Voters,,,,1113,,,,
Bedford,0201 Bedford Township No 1,Registered Voters,,,,1827,,,,
Bedford,0202 Bedford Township No 2,Registered Voters,,,,2064,,,,
Bedford,0301 Bloomfield Township,Registered Voters,,,,668,,,,
Bedford,0401 Broad Top Township,Registered Voters,,,,926,,,,
Bedford,0501 Coaldale Borough,Registered Voters,,,,85,,,,
Bedford,0601 Colerain Township,Registered Voters,,,,808,,,,
Bedford,0701 Cumberland Valley Township,Registered Voters,,,,1161,,,,
Bedford,0801 Everett Borough,Registered Voters,,,,1026,,,,
Bedford,0901 Harrison Township,Registered Voters,,,,692,,,,
Bedford,1001 Hopewell Borough,Registered Voters,,,,131,,,,
Bedford,1101 Hopewell Township,Registered Voters,,,,1358,,,,
Bedford,1201 Hyndman Borough,Registered Voters,,,,616,,,,
Bedford,1301 Juniata Township,Registered Voters,,,,678,,,,
Bedford,1401 Kimmel Township,Registered Voters,,,,1062,,,,
Bedford,1501 King Township,Registered Voters,,,,861,,,,
Bedford,1601 Liberty Township,Registered Voters,,,,1057,,,,
Bedford,1701 Lincoln Township,Registered Voters,,,,298,,,,
Bedford,1801 Londonderry Township,Registered Voters,,,,1286,,,,
Bedford,1901 Mann Township,Registered Voters,,,,405,,,,
Bedford,2001 Manns Choice Borough,Registered Voters,,,,202,,,,
Bedford,2101 Monroe Township,Registered Voters,,,,932,,,,
Bedford,2201 Napier Township,Registered Voters,,,,1579,,,,
Bedford,2301 New Paris Borough,Registered Voters,,,,107,,,,
Bedford,2401 Pleasantville Borough,Registered Voters,,,,126,,,,
Bedford,2501 East Providence Township,Registered Voters,,,,1257,,,,
Bedford,2502 West Providence Township,Registered Voters,,,,2224,,,,
Bedford,2601 Rainsburg Borough,Registered Voters,,,,84,,,,
Bedford,2701 Saxton Borough,Registered Voters,,,,417,,,,
Bedford,2801 Schellsburg Borough,Registered Voters,,,,235,,,,
Bedford,2901 Snake Spring Township,Registered Voters,,,,1348,,,,
Bedford,3003 Southampton Township,Registered Voters,,,,610,,,,
Bedford,3101 St. Clairsville Borough,Registered Voters,,,,66,,,,
Bedford,3201 East St. Clair Township,Registered Voters,,,,2143,,,,
Bedford,3202 West St. Clair Township,Registered Voters,,,,1246,,,,
Bedford,3301 Pavia Township,Registered Voters,,,,213,,,,
Bedford,3401 Woodbury Borough,Registered Voters,,,,203,,,,
Bedford,3501 Woodbury Township,Registered Voters,,,,692,,,,
Bedford,3601 South Woodbury Township,Registered Voters,,,,1305,,,,
Bedford,0101 Bedford Borough East Ward,Ballots Cast,,,,851,46,585,212,8
Bedford,0102 Bedford Borough West Ward,Ballots Cast,,,,869,36,589,232,12
Bedford,0201 Bedford Township No 1,Ballots Cast,,,,1456,69,1060,280,47
Bedford,0202 Bedford Township No 2,Ballots Cast,,,,1678,100,1072,493,13
Bedford,0301 Bloomfield Township,Ballots Cast,,,,584,10,504,62,8
Bedford,0401 Broad Top Township,Ballots Cast,,,,711,18,577,95,21
Bedford,0501 Coaldale Borough,Ballots Cast,,,,65,0,61,4,0
Bedford,0601 Colerain Township,Ballots Cast,,,,721,14,589,110,8
Bedford,0701 Cumberland Valley Township,Ballots Cast,,,,891,23,717,130,21
Bedford,0801 Everett Borough,Ballots Cast,,,,741,26,586,122,7
Bedford,0901 Harrison Township,Ballots Cast,,,,530,23,422,74,11
Bedford,1001 Hopewell Borough,Ballots Cast,,,,99,6,86,7,0
Bedford,1101 Hopewell Township,Ballots Cast,,,,1124,24,906,184,10
Bedford,1201 Hyndman Borough,Ballots Cast,,,,446,8,398,34,6
Bedford,1301 Juniata Township,Ballots Cast,,,,593,11,500,81,1
Bedford,1401 Kimmel Township,Ballots Cast,,,,894,24,721,145,4
Bedford,1501 King Township,Ballots Cast,,,,725,17,613,89,6
Bedford,1601 Liberty Township,Ballots Cast,,,,871,26,664,172,9
Bedford,1701 Lincoln Township,Ballots Cast,,,,255,3,235,15,2
Bedford,1801 Londonderry Township,Ballots Cast,,,,988,27,825,122,14
Bedford,1901 Mann Township,Ballots Cast,,,,336,12,275,44,5
Bedford,2001 Manns Choice Borough,Ballots Cast,,,,157,1,133,21,2
Bedford,2101 Monroe Township,Ballots Cast,,,,786,12,677,85,12
Bedford,2201 Napier Township,Ballots Cast,,,,1311,33,1011,259,8
Bedford,2301 New Paris Borough,Ballots Cast,,,,87,2,70,13,2
Bedford,2401 Pleasantville Borough,Ballots Cast,,,,99,1,87,9,2
Bedford,2501 East Providence Township,Ballots Cast,,,,1014,24,819,136,35
Bedford,2502 West Providence Township,Ballots Cast,,,,1815,51,1292,424,48
Bedford,2601 Rainsburg Borough,Ballots Cast,,,,59,1,49,8,1
Bedford,2701 Saxton Borough,Ballots Cast,,,,312,8,260,39,5
Bedford,2801 Schellsburg Borough,Ballots Cast,,,,180,4,150,23,3
Bedford,2901 Snake Spring Township,Ballots Cast,,,,1120,49,759,295,17
Bedford,3003 Southampton Township,Ballots Cast,,,,497,17,417,57,6
Bedford,3101 St. Clairsville Borough,Ballots Cast,,,,45,2,33,10,0
Bedford,3201 East St. Clair Township,Ballots Cast,,,,1672,51,1271,332,18
Bedford,3202 West St. Clair Township,Ballots Cast,,,,1059,31,863,155,10
Bedford,3301 Pavia Township,Ballots Cast,,,,174,5,144,18,7
Bedford,3401 Woodbury Borough,Ballots Cast,,,,158,7,132,18,1
Bedford,3501 Woodbury Township,Ballots Cast,,,,598,19,526,46,7
Bedford,3601 South Woodbury Township,Ballots Cast,,,,1106,28,964,100,14
Bedford,0101 Bedford Borough East Ward,President,,DEM,Joseph R. Biden,245,21,108,114,2
Bedford,0102 Bedford Borough West Ward,President,,DEM,Joseph R. Biden,251,18,90,138,5
Bedford,0201 Bedford Township No 1,President,,DEM,Joseph R. Biden,235,30,83,116,6
Bedford,0202 Bedford Township No 2,President,,DEM,Joseph R. Biden,343,35,91,215,2
Bedford,0301 Bloomfield Township,President,,DEM,Joseph R. Biden,56,4,35,17,0
Bedford,0401 Broad Top Township,President,,DEM,Joseph R. Biden,129,2,72,52,3
Bedford,0501 Coaldale Borough,President,,DEM,Joseph R. Biden,16,0,14,2,0
Bedford,0601 Colerain Township,President,,DEM,Joseph R. Biden,117,4,62,51,0
Bedford,0701 Cumberland Valley Township,President,,DEM,Joseph R. Biden,155,7,79,64,5
Bedford,0801 Everett Borough,President,,DEM,Joseph R. Biden,123,7,58,57,1
Bedford,0901 Harrison Township,President,,DEM,Joseph R. Biden,82,10,38,34,0
Bedford,1001 Hopewell Borough,President,,DEM,Joseph R. Biden,16,4,11,1,0
Bedford,1101 Hopewell Township,President,,DEM,Joseph R. Biden,152,10,67,75,0
Bedford,1201 Hyndman Borough,President,,DEM,Joseph R. Biden,68,1,46,21,0
Bedford,1301 Juniata Township,President,,DEM,Joseph R. Biden,98,4,52,41,1
Bedford,1401 Kimmel Township,President,,DEM,Joseph R. Biden,140,7,68,65,0
Bedford,1501 King Township,President,,DEM,Joseph R. Biden,60,5,25,29,1
Bedford,1601 Liberty Township,President,,DEM,Joseph R. Biden,184,10,76,98,0
Bedford,1701 Lincoln Township,President,,DEM,Joseph R. Biden,22,1,13,8,0
Bedford,1801 Londonderry Township,President,,DEM,Joseph R. Biden,110,8,46,56,0
Bedford,1901 Mann Township,President,,DEM,Joseph R. Biden,41,4,14,21,2
Bedford,2001 Manns Choice Borough,President,,DEM,Joseph R. Biden,30,1,16,12,1
Bedford,2101 Monroe Township,President,,DEM,Joseph R. Biden,88,2,48,38,0
Bedford,2201 Napier Township,President,,DEM,Joseph R. Biden,179,8,64,107,0
Bedford,2301 New Paris Borough,President,,DEM,Joseph R. Biden,16,1,6,9,0
Bedford,2401 Pleasantville Borough,President,,DEM,Joseph R. Biden,12,0,6,6,0
Bedford,2501 East Providence Township,President,,DEM,Joseph R. Biden,121,5,52,59,5
Bedford,2502 West Providence Township,President,,DEM,Joseph R. Biden,262,21,69,169,3
Bedford,2601 Rainsburg Borough,President,,DEM,Joseph R. Biden,8,0,1,4,0
Bedford,2701 Saxton Borough,President,,DEM,Joseph R. Biden,64,4,33,26,1
Bedford,2801 Schellsburg Borough,President,,DEM,Joseph R. Biden,30,2,11,17,0
Bedford,2901 Snake Spring Township,President,,DEM,Joseph R. Biden,245,17,84,144,0
Bedford,3003 Southampton Township,President,,DEM,Joseph R. Biden,48,6,12,30,0
Bedford,3101 St. Clairsville Borough,President,,DEM,Joseph R. Biden,8,0,0,7,0
Bedford,3201 East St. Clair Township,President,,DEM,Joseph R. Biden,270,10,88,168,4
Bedford,3202 West St. Clair Township,President,,DEM,Joseph R. Biden,144,10,66,68,0
Bedford,3301 Pavia Township,President,,DEM,Joseph R. Biden,16,0,9,6,1
Bedford,3401 Woodbury Borough,President,,DEM,Joseph R. Biden,25,3,11,10,1
Bedford,3501 Woodbury Township,President,,DEM,Joseph R. Biden,55,1,38,14,2
Bedford,3601 South Woodbury Township,President,,DEM,Joseph R. Biden,103,4,56,42,1
Bedford,0101 Bedford Borough East Ward,President,,REP,Donald J. Trump,591,23,468,94,6
Bedford,0102 Bedford Borough West Ward,President,,REP,Donald J. Trump,601,17,487,90,7
Bedford,0201 Bedford Township No 1,President,,REP,Donald J. Trump,1206,37,968,160,41
Bedford,0202 Bedford Township No 2,President,,REP,Donald J. Trump,1313,63,968,271,11
Bedford,0301 Bloomfield Township,President,,REP,Donald J. Trump,522,5,465,45,7
Bedford,0401 Broad Top Township,President,,REP,Donald J. Trump,577,16,502,41,18
Bedford,0501 Coaldale Borough,President,,REP,Donald J. Trump,48,0,46,2,0
Bedford,0601 Colerain Township,President,,REP,Donald J. Trump,596,10,522,56,8
Bedford,0701 Cumberland Valley Township,President,,REP,Donald J. Trump,727,16,633,62,16
Bedford,0801 Everett Borough,President,,REP,Donald J. Trump,610,19,523,62,6
Bedford,0901 Harrison Township,President,,REP,Donald J. Trump,443,13,381,38,11
Bedford,1001 Hopewell Borough,President,,REP,Donald J. Trump,82,2,74,6,0
Bedford,1101 Hopewell Township,President,,REP,Donald J. Trump,961,14,831,106,10
Bedford,1201 Hyndman Borough,President,,REP,Donald J. Trump,372,5,350,11,6
Bedford,1301 Juniata Township,President,,REP,Donald J. Trump,489,7,443,39,0
Bedford,1401 Kimmel Township,President,,REP,Donald J. Trump,745,17,649,75,4
Bedford,1501 King Township,President,,REP,Donald J. Trump,661,12,584,60,5
Bedford,1601 Liberty Township,President,,REP,Donald J. Trump,683,16,585,73,9
Bedford,1701 Lincoln Township,President,,REP,Donald J. Trump,231,2,220,7,2
Bedford,1801 Londonderry Township,President,,REP,Donald J. Trump,868,18,772,64,14
Bedford,1901 Mann Township,President,,REP,Donald J. Trump,294,8,260,23,3
Bedford,2001 Manns Choice Borough,President,,REP,Donald J. Trump,120,0,111,8,1
Bedford,2101 Monroe Township,President,,REP,Donald J. Trump,690,10,623,45,12
Bedford,2201 Napier Township,President,,REP,Donald J. Trump,1128,25,945,150,8
Bedford,2301 New Paris Borough,President,,REP,Donald J. Trump,70,1,63,4,2
Bedford,2401 Pleasantville Borough,President,,REP,Donald J. Trump,86,1,80,3,2
Bedford,2501 East Providence Township,President,,REP,Donald J. Trump,886,19,763,74,30
Bedford,2502 West Providence Township,President,,REP,Donald J. Trump,1541,30,1217,250,44
Bedford,2601 Rainsburg Borough,President,,REP,Donald J. Trump,49,1,0,4,1
Bedford,2701 Saxton Borough,President,,REP,Donald J. Trump,240,4,220,12,4
Bedford,2801 Schellsburg Borough,President,,REP,Donald J. Trump,147,2,136,6,3
Bedford,2901 Snake Spring Township,President,,REP,Donald J. Trump,866,32,671,146,17
Bedford,3003 Southampton Township,President,,REP,Donald J. Trump,441,11,403,21,6
Bedford,3101 St. Clairsville Borough,President,,REP,Donald J. Trump,37,2,32,3,0
Bedford,3201 East St. Clair Township,President,,REP,Donald J. Trump,1380,40,1166,160,14
Bedford,3202 West St. Clair Township,President,,REP,Donald J. Trump,909,20,793,86,10
Bedford,3301 Pavia Township,President,,REP,Donald J. Trump,155,5,133,11,6
Bedford,3401 Woodbury Borough,President,,REP,Donald J. Trump,131,2,121,8,0
Bedford,3501 Woodbury Township,President,,REP,Donald J. Trump,536,17,486,28,5
Bedford,3601 South Woodbury Township,President,,REP,Donald J. Trump,993,23,900,58,12
Bedford,0101 Bedford Borough East Ward,President,,LIB,Jo Jorgensen,8,2,5,1,0
Bedford,0102 Bedford Borough West Ward,President,,LIB,Jo Jorgensen,13,1,10,2,0
Bedford,0201 Bedford Township No 1,President,,LIB,Jo Jorgensen,8,1,4,3,0
Bedford,0202 Bedford Township No 2,President,,LIB,Jo Jorgensen,16,2,11,3,0
Bedford,0301 Bloomfield Township,President,,LIB,Jo Jorgensen,4,1,3,0,0
Bedford,0401 Broad Top Township,President,,LIB,Jo Jorgensen,5,0,3,2,0
Bedford,0501 Coaldale Borough,President,,LIB,Jo Jorgensen,1,0,1,0,0
Bedford,0601 Colerain Township,President,,LIB,Jo Jorgensen,4,0,3,1,0
Bedford,0701 Cumberland Valley Township,President,,LIB,Jo Jorgensen,7,0,4,3,0
Bedford,0801 Everett Borough,President,,LIB,Jo Jorgensen,5,0,3,2,0
Bedford,0901 Harrison Township,President,,LIB,Jo Jorgensen,5,0,3,2,0
Bedford,1001 Hopewell Borough,President,,LIB,Jo Jorgensen,1,0,1,0,0
Bedford,1101 Hopewell Township,President,,LIB,Jo Jorgensen,3,0,2,1,0
Bedford,1201 Hyndman Borough,President,,LIB,Jo Jorgensen,4,1,2,1,0
Bedford,1301 Juniata Township,President,,LIB,Jo Jorgensen,4,0,3,1,0
Bedford,1401 Kimmel Township,President,,LIB,Jo Jorgensen,3,0,2,1,0
Bedford,1501 King Township,President,,LIB,Jo Jorgensen,0,0,0,0,0
Bedford,1601 Liberty Township,President,,LIB,Jo Jorgensen,2,0,2,0,0
Bedford,1701 Lincoln Township,President,,LIB,Jo Jorgensen,1,0,1,0,0
Bedford,1801 Londonderry Township,President,,LIB,Jo Jorgensen,6,1,4,1,0
Bedford,1901 Mann Township,President,,LIB,Jo Jorgensen,1,0,1,0,0
Bedford,2001 Manns Choice Borough,President,,LIB,Jo Jorgensen,5,0,4,1,0
Bedford,2101 Monroe Township,President,,LIB,Jo Jorgensen,6,0,5,1,0
Bedford,2201 Napier Township,President,,LIB,Jo Jorgensen,2,0,1,1,0
Bedford,2301 New Paris Borough,President,,LIB,Jo Jorgensen,0,0,4,0,0
Bedford,2401 Pleasantville Borough,President,,LIB,Jo Jorgensen,1,0,0,0,0
Bedford,2501 East Providence Township,President,,LIB,Jo Jorgensen,5,0,1,1,0
Bedford,2502 West Providence Township,President,,LIB,Jo Jorgensen,8,0,4,3,1
Bedford,2601 Rainsburg Borough,President,,LIB,Jo Jorgensen,1,0,4,0,0
Bedford,2701 Saxton Borough,President,,LIB,Jo Jorgensen,4,0,1,0,0
Bedford,2801 Schellsburg Borough,President,,LIB,Jo Jorgensen,1,0,4,0,0
Bedford,2901 Snake Spring Township,President,,LIB,Jo Jorgensen,6,0,1,3,0
Bedford,3003 Southampton Township,President,,LIB,Jo Jorgensen,7,0,3,5,0
Bedford,3101 St. Clairsville Borough,President,,LIB,Jo Jorgensen,0,0,2,0,0
Bedford,3201 East St. Clair Township,President,,LIB,Jo Jorgensen,16,1,12,3,0
Bedford,3202 West St. Clair Township,President,,LIB,Jo Jorgensen,4,1,2,1,0
Bedford,3301 Pavia Township,President,,LIB,Jo Jorgensen,2,0,1,1,0
Bedford,3401 Woodbury Borough,President,,LIB,Jo Jorgensen,1,1,0,0,0
Bedford,3501 Woodbury Township,President,,LIB,Jo Jorgensen,4,1,2,1,0
Bedford,3601 South Woodbury Township,President,,LIB,Jo Jorgensen,8,1,6,0,1
Bedford,0101 Bedford Borough East Ward,President,,,Write-ins,5,0,4,1,0
Bedford,0102 Bedford Borough West Ward,President,,,Write-ins,3,0,2,1,0
Bedford,0201 Bedford Township No 1,President,,,Write-ins,2,0,2,0,0
Bedford,0202 Bedford Township No 2,President,,,Write-ins,0,0,0,0,0
Bedford,0301 Bloomfield Township,President,,,Write-ins,1,0,1,0,0
Bedford,0401 Broad Top Township,President,,,Write-ins,0,0,0,0,0
Bedford,0501 Coaldale Borough,President,,,Write-ins,0,0,0,0,0
Bedford,0601 Colerain Township,President,,,Write-ins,2,0,1,1,0
Bedford,0701 Cumberland Valley Township,President,,,Write-ins,1,0,0,1,0
Bedford,0801 Everett Borough,President,,,Write-ins,1,0,1,0,0
Bedford,0901 Harrison Township,President,,,Write-ins,0,0,0,0,0
Bedford,1001 Hopewell Borough,President,,,Write-ins,0,0,0,0,0
Bedford,1101 Hopewell Township,President,,,Write-ins,1,0,1,0,0
Bedford,1201 Hyndman Borough,President,,,Write-ins,2,1,0,1,0
Bedford,1301 Juniata Township,President,,,Write-ins,1,0,1,0,0
Bedford,1401 Kimmel Township,President,,,Write-ins,2,0,0,2,0
Bedford,1501 King Township,President,,,Write-ins,1,0,1,0,0
Bedford,1601 Liberty Township,President,,,Write-ins,1,0,1,0,0
Bedford,1701 Lincoln Township,President,,,Write-ins,1,0,1,0,0
Bedford,1801 Londonderry Township,President,,,Write-ins,0,0,0,0,0
Bedford,1901 Mann Township,President,,,Write-ins,0,0,0,0,0
Bedford,2001 Manns Choice Borough,President,,,Write-ins,0,0,0,0,0
Bedford,2101 Monroe Township,President,,,Write-ins,0,0,0,0,0
Bedford,2201 Napier Township,President,,,Write-ins,0,0,0,0,0
Bedford,2301 New Paris Borough,President,,,Write-ins,0,0,43,0,0
Bedford,2401 Pleasantville Borough,President,,,Write-ins,0,0,0,0,0
Bedford,2501 East Providence Township,President,,,Write-ins,2,0,0,2,0
Bedford,2502 West Providence Township,President,,,Write-ins,0,0,0,0,0
Bedford,2601 Rainsburg Borough,President,,,Write-ins,0,0,0,0,0
Bedford,2701 Saxton Borough,President,,,Write-ins,0,0,32,0,0
Bedford,2801 Schellsburg Borough,President,,,Write-ins,1,0,0,0,0
Bedford,2901 Snake Spring Township,President,,,Write-ins,2,0,1,1,0
Bedford,3003 Southampton Township,President,,,Write-ins,1,0,1,1,0
Bedford,3101 St. Clairsville Borough,President,,,Write-ins,0,0,0,0,0
Bedford,3201 East St. Clair Township,President,,,Write-ins,0,0,0,0,0
Bedford,3202 West St. Clair Township,President,,,Write-ins,2,0,2,0,0
Bedford,3301 Pavia Township,President,,,Write-ins,0,0,0,0,0
Bedford,3401 Woodbury Borough,President,,,Write-ins,1,1,0,0,0
Bedford,3501 Woodbury Township,President,,,Write-ins,3,0,0,3,0
Bedford,3601 South Woodbury Township,President,,,Write-ins,0,0,0,0,0
Bedford,0101 Bedford Borough East Ward,Attorney General,,DEM,Josh Shapiro,234,19,105,107,3
Bedford,0102 Bedford Borough West Ward,Attorney General,,DEM,Josh Shapiro,233,16,95,119,3
Bedford,0201 Bedford Township No 1,Attorney General,,DEM,Josh Shapiro,252,31,96,119,6
Bedford,0202 Bedford Township No 2,Attorney General,,DEM,Josh Shapiro,345,31,103,210,1
Bedford,0301 Bloomfield Township,Attorney General,,DEM,Josh Shapiro,65,4,42,19,0
Bedford,0401 Broad Top Township,Attorney General,,DEM,Josh Shapiro,139,2,84,50,3
Bedford,0501 Coaldale Borough,Attorney General,,DEM,Josh Shapiro,20,0,17,3,0
Bedford,0601 Colerain Township,Attorney General,,DEM,Josh Shapiro,134,5,66,61,2
Bedford,0701 Cumberland Valley Township,Attorney General,,DEM,Josh Shapiro,159,5,84,64,6
Bedford,0801 Everett Borough,Attorney General,,DEM,Josh Shapiro,139,4,75,59,1
Bedford,0901 Harrison Township,Attorney General,,DEM,Josh Shapiro,108,11,60,35,2
Bedford,1001 Hopewell Borough,Attorney General,,DEM,Josh Shapiro,18,2,14,2,0
Bedford,1101 Hopewell Township,Attorney General,,DEM,Josh Shapiro,173,9,81,82,1
Bedford,1201 Hyndman Borough,Attorney General,,DEM,Josh Shapiro,77,2,54,21,0
Bedford,1301 Juniata Township,Attorney General,,DEM,Josh Shapiro,121,4,72,44,1
Bedford,1401 Kimmel Township,Attorney General,,DEM,Josh Shapiro,160,9,83,68,0
Bedford,1501 King Township,Attorney General,,DEM,Josh Shapiro,73,6,37,29,1
Bedford,1601 Liberty Township,Attorney General,,DEM,Josh Shapiro,193,9,83,100,1
Bedford,1701 Lincoln Township,Attorney General,,DEM,Josh Shapiro,21,0,14,7,0
Bedford,1801 Londonderry Township,Attorney General,,DEM,Josh Shapiro,117,10,54,53,0
Bedford,1901 Mann Township,Attorney General,,DEM,Josh Shapiro,42,4,14,22,2
Bedford,2001 Manns Choice Borough,Attorney General,,DEM,Josh Shapiro,37,0,24,12,1
Bedford,2101 Monroe Township,Attorney General,,DEM,Josh Shapiro,97,2,57,38,0
Bedford,2201 Napier Township,Attorney General,,DEM,Josh Shapiro,206,6,84,115,1
Bedford,2301 New Paris Borough,Attorney General,,DEM,Josh Shapiro,23,1,14,8,0
Bedford,2401 Pleasantville Borough,Attorney General,,DEM,Josh Shapiro,14,0,6,8,0
Bedford,2501 East Providence Township,Attorney General,,DEM,Josh Shapiro,133,4,57,67,5
Bedford,2502 West Providence Township,Attorney General,,DEM,Josh Shapiro,266,23,77,161,5
Bedford,2601 Rainsburg Borough,Attorney General,,DEM,Josh Shapiro,13,0,9,4,0
Bedford,2701 Saxton Borough,Attorney General,,DEM,Josh Shapiro,70,4,38,27,1
Bedford,2801 Schellsburg Borough,Attorney General,,DEM,Josh Shapiro,37,2,20,15,0
Bedford,2901 Snake Spring Township,Attorney General,,DEM,Josh Shapiro,260,15,99,146,0
Bedford,3003 Southampton Township,Attorney General,,DEM,Josh Shapiro,51,5,17,29,0
Bedford,3101 St. Clairsville Borough,Attorney General,,DEM,Josh Shapiro,7,0,1,6,0
Bedford,3201 East St. Clair Township,Attorney General,,DEM,Josh Shapiro,304,12,22,166,4
Bedford,3202 West St. Clair Township,Attorney General,,DEM,Josh Shapiro,166,10,89,67,0
Bedford,3301 Pavia Township,Attorney General,,DEM,Josh Shapiro,23,0,14,7,2
Bedford,3401 Woodbury Borough,Attorney General,,DEM,Josh Shapiro,25,3,15,6,1
Bedford,3501 Woodbury Township,Attorney General,,DEM,Josh Shapiro,55,2,40,11,2
Bedford,3601 South Woodbury Township,Attorney General,,DEM,Josh Shapiro,130,4,78,46,2
Bedford,0101 Bedford Borough East Ward,Attorney General,,REP,Heather Heidelbaugh,587,24,462,96,5
Bedford,0102 Bedford Borough West Ward,Attorney General,,REP,Heather Heidelbaugh,597,19,462,108,8
Bedford,0201 Bedford Township No 1,Attorney General,,REP,Heather Heidelbaugh,1164,36,938,151,39
Bedford,0202 Bedford Township No 2,Attorney General,,REP,Heather Heidelbaugh,1268,61,925,270,12
Bedford,0301 Bloomfield Township,Attorney General,,REP,Heather Heidelbaugh,510,5,455,43,7
Bedford,0401 Broad Top Township,Attorney General,,REP,Heather Heidelbaugh,548,16,471,43,18
Bedford,0501 Coaldale Borough,Attorney General,,REP,Heather Heidelbaugh,44,0,43,1,0
Bedford,0601 Colerain Township,Attorney General,,REP,Heather Heidelbaugh,567,8,508,45,6
Bedford,0701 Cumberland Valley Township,Attorney General,,REP,Heather Heidelbaugh,697,15,609,60,13
Bedford,0801 Everett Borough,Attorney General,,REP,Heather Heidelbaugh,571,19,490,57,5
Bedford,0901 Harrison Township,Attorney General,,REP,Heather Heidelbaugh,415,12,358,36,9
Bedford,1001 Hopewell Borough,Attorney General,,REP,Heather Heidelbaugh,76,4,67,5,0
Bedford,1101 Hopewell Township,Attorney General,,REP,Heather Heidelbaugh,927,14,806,99,8
Bedford,1201 Hyndman Borough,Attorney General,,REP,Heather Heidelbaugh,353,4,335,8,6
Bedford,1301 Juniata Township,Attorney General,,REP,Heather Heidelbaugh,457,7,414,36,0
Bedford,1401 Kimmel Township,Attorney General,,REP,Heather Heidelbaugh,707,14,617,72,4
Bedford,1501 King Township,Attorney General,,REP,Heather Heidelbaugh,626,9,558,54,5
Bedford,1601 Liberty Township,Attorney General,,REP,Heather Heidelbaugh,657,14,565,70,8
Bedford,1701 Lincoln Township,Attorney General,,REP,Heather Heidelbaugh,224,3,212,7,2
Bedford,1801 Londonderry Township,Attorney General,,REP,Heather Heidelbaugh,836,16,742,64,14
Bedford,1901 Mann Township,Attorney General,,REP,Heather Heidelbaugh,273,8,243,20,2
Bedford,2001 Manns Choice Borough,Attorney General,,REP,Heather Heidelbaugh,110,1,100,8,1
Bedford,2101 Monroe Township,Attorney General,,REP,Heather Heidelbaugh,677,10,613,44,10
