county,precinct,office,district,party,candidate,votes,absentee,election_day,mail,provisional
Bedford,2201 Napier Township,Attorney General,,REP,Heather Heidelbaugh,1075,24,904,140,7
Bedford,2301 New Paris Borough,Attorney General,,REP,Heather Heidelbaugh,57,1,50,4,2
Bedford,2401 Pleasantville Borough,Attorney General,,REP,Heather Heidelbaugh,84,1,80,1,2
Bedford,2501 East Providence Township,Attorney General,,REP,Heather Heidelbaugh,854,19,741,64,30
Bedford,2502 West Providence Township,Attorney General,,REP,Heather Heidelbaugh,1491,28,1176,244,43
Bedford,2601 Rainsburg Borough,Attorney General,,REP,Heather Heidelbaugh,43,1,38,3,1
Bedford,2701 Saxton Borough,Attorney General,,REP,Heather Heidelbaugh,233,4,213,12,4
Bedford,2801 Schellsburg Borough,Attorney General,,REP,Heather Heidelbaugh,137,2,126,6,3
Bedford,2901 Snake Spring Township,Attorney General,,REP,Heather Heidelbaugh,827,33,635,142,17
Bedford,3003 Southampton Township,Attorney General,,REP,Heather Heidelbaugh,425,11,384,25,5
Bedford,3101 St. Clairsville Borough,Attorney General,,REP,Heather Heidelbaugh,35,2,30,3,0
Bedford,3201 East St. Clair Township,Attorney General,,REP,Heather Heidelbaugh,1313,36,1111,152,14
Bedford,3202 West St. Clair Township,Attorney General,,REP,Heather Heidelbaugh,869,21,755,83,10
Bedford,3301 Pavia Township,Attorney General,,REP,Heather Heidelbaugh,146,5,125,11,5
Bedford,3401 Woodbury Borough,Attorney General,,REP,Heather Heidelbaugh,124,2,111,11,0
Bedford,3501 Woodbury Township,Attorney General,,REP,Heather Heidelbaugh,529,17,474,33,5
Bedford,3601 South Woodbury Township,Attorney General,,REP,Heather Heidelbaugh,951,23,865,52,11
Bedford,0101 Bedford Borough East Ward,Attorney General,,LIB,Daniel Wassmer,12,0,7,5,0
Bedford,0102 Bedford Borough West Ward,Attorney General,,LIB,Daniel Wassmer,12,0,10,2,0
Bedford,0201 Bedford Township No 1,Attorney General,,LIB,Daniel Wassmer,17,0,14,3,0
Bedford,0202 Bedford Township No 2,Attorney General,,LIB,Daniel Wassmer,29,2,24,3,0
Bedford,0301 Bloomfield Township,Attorney General,,LIB,Daniel Wassmer,5,1,4,0,0
Bedford,0401 Broad Top Township,Attorney General,,LIB,Daniel Wassmer,6,0,5,1,0
Bedford,0501 Coaldale Borough,Attorney General,,LIB,Daniel Wassmer,1,0,1,0,0
Bedford,0601 Colerain Township,Attorney General,,LIB,Daniel Wassmer,6,0,4,2,0
Bedford,0701 Cumberland Valley Township,Attorney General,,LIB,Daniel Wassmer,14,1,9,4,0
Bedford,0801 Everett Borough,Attorney General,,LIB,Daniel Wassmer,13,0,10,2,1
Bedford,0901 Harrison Township,Attorney General,,LIB,Daniel Wassmer,2,0,2,0,0
Bedford,1001 Hopewell Borough,Attorney General,,LIB,Daniel Wassmer,3,0,3,0,0
Bedford,1101 Hopewell Township,Attorney General,,LIB,Daniel Wassmer,9,0,8,1,0
Bedford,1201 Hyndman Borough,Attorney General,,LIB,Daniel Wassmer,6,1,4,1,0
Bedford,1301 Juniata Township,Attorney General,,LIB,Daniel Wassmer,10,0,9,1,0
Bedford,1401 Kimmel Township,Attorney General,,LIB,Daniel Wassmer,15,1,12,2,0
Bedford,1501 King Township,Attorney General,,LIB,Daniel Wassmer,5,0,4,1,0
Bedford,1601 Liberty Township,Attorney General,,LIB,Daniel Wassmer,6,1,5,0,0
Bedford,1701 Lincoln Township,Attorney General,,LIB,Daniel Wassmer,0,0,0,0,0
Bedford,1801 Londonderry Township,Attorney General,,LIB,Daniel Wassmer,7,0,6,1,0
Bedford,1901 Mann Township,Attorney General,,LIB,Daniel Wassmer,6,0,6,0,0
Bedford,2001 Manns Choice Borough,Attorney General,,LIB,Daniel Wassmer,9,0,8,1,0
Bedford,2101 Monroe Township,Attorney General,,LIB,Daniel Wassmer,4,0,3,0,1
Bedford,2201 Napier Township,Attorney General,,LIB,Daniel Wassmer,11,3,6,2,0
Bedford,2301 New Paris Borough,Attorney General,,LIB,Daniel Wassmer,3,0,2,1,0
Bedford,2401 Pleasantville Borough,Attorney General,,LIB,Daniel Wassmer,0,0,0,0,0
Bedford,2501 East Providence Township,Attorney General,,LIB,Daniel Wassmer,9,0,7,2,0
Bedford,2502 West Providence Township,Attorney General,,LIB,Daniel Wassmer,23,0,21,2,0
Bedford,2601 Rainsburg Borough,Attorney General,,LIB,Daniel Wassmer,2,0,2,0,0
Bedford,2701 Saxton Borough,Attorney General,,LIB,Daniel Wassmer,4,0,4,0,0
Bedford,2801 Schellsburg Borough,Attorney General,,LIB,Daniel Wassmer,1,0,1,0,0
Bedford,2901 Snake Spring Township,Attorney General,,LIB,Daniel Wassmer,11,0,9,2,0
Bedford,3003 Southampton Township,Attorney General,,LIB,Daniel Wassmer,3,0,2,1,0
Bedford,3101 St. Clairsville Borough,Attorney General,,LIB,Daniel Wassmer,0,0,0,0,0
Bedford,3201 East St. Clair Township,Attorney General,,LIB,Daniel Wassmer,25,1,22,2,0
Bedford,3202 West St. Clair Township,Attorney General,,LIB,Daniel Wassmer,10,0,9,1,0
Bedford,3301 Pavia Township,Attorney General,,LIB,Daniel Wassmer,1,0,1,0,0
Bedford,3401 Woodbury Borough,Attorney General,,LIB,Daniel Wassmer,2,1,1,0,0
Bedford,3501 Woodbury Township,Attorney General,,LIB,Daniel Wassmer,2,0,2,0,0
Bedford,3601 South Woodbury Township,Attorney General,,LIB,Daniel Wassmer,8,1,7,0,0
Bedford,0101 Bedford Borough East Ward,Attorney General,,GRN,Richard L. Weiss,3,1,2,0,0
Bedford,0102 Bedford Borough West Ward,Attorney General,,GRN,Richard L. Weiss,13,0,11,2,0
Bedford,0201 Bedford Township No 1,Attorney General,,GRN,Richard L. Weiss,8,1,4,2,1
Bedford,0202 Bedford Township No 2,Attorney General,,GRN,Richard L. Weiss,9,4,5,0,0
Bedford,0301 Bloomfield Township,Attorney General,,GRN,Richard L. Weiss,0,0,0,0,0
Bedford,0401 Broad Top Township,Attorney General,,GRN,Richard L. Weiss,6,0,6,0,0
Bedford,0501 Coaldale Borough,Attorney General,,GRN,Richard L. Weiss,0,0,0,0,0
Bedford,0601 Colerain Township,Attorney General,,GRN,Richard L. Weiss,2,0,2,0,0
Bedford,0701 Cumberland Valley Township,Attorney General,,GRN,Richard L. Weiss,8,1,6,0,1
Bedford,0801 Everett Borough,Attorney General,,GRN,Richard L. Weiss,7,3,2,2,0
Bedford,0901 Harrison Township,Attorney General,,GRN,Richard L. Weiss,0,0,0,0,0
Bedford,1001 Hopewell Borough,Attorney General,,GRN,Richard L. Weiss,0,0,0,0,0
Bedford,1101 Hopewell Township,Attorney General,,GRN,Richard L. Weiss,3,1,2,0,0
Bedford,1201 Hyndman Borough,Attorney General,,GRN,Richard L. Weiss,2,0,0,2,0
Bedford,1301 Juniata Township,Attorney General,,GRN,Richard L. Weiss,0,0,0,0,0
Bedford,1401 Kimmel Township,Attorney General,,GRN,Richard L. Weiss,2,0,2,0,0
Bedford,1501 King Township,Attorney General,,GRN,Richard L. Weiss,3,0,2,1,0
Bedford,1601 Liberty Township,Attorney General,,GRN,Richard L. Weiss,6,1,5,0,0
Bedford,1701 Lincoln Township,Attorney General,,GRN,Richard L. Weiss,3,0,2,1,0
Bedford,1801 Londonderry Township,Attorney General,,GRN,Richard L. Weiss,1,0,1,0,0
Bedford,1901 Mann Township,Attorney General,,GRN,Richard L. Weiss,2,0,2,0,0
Bedford,2001 Manns Choice Borough,Attorney General,,GRN,Richard L. Weiss,1,0,1,0,0
Bedford,2101 Monroe Township,Attorney General,,GRN,Richard L. Weiss,3,0,1,1,1
Bedford,2201 Napier Township,Attorney General,,GRN,Richard L. Weiss,5,0,3,2,0
Bedford,2301 New Paris Borough,Attorney General,,GRN,Richard L. Weiss,2,0,2,0,0
Bedford,2401 Pleasantville Borough,Attorney General,,GRN,Richard L. Weiss,0,0,0,0,0
Bedford,2501 East Providence Township,Attorney General,,GRN,Richard L. Weiss,3,0,3,0,0
Bedford,2502 West Providence Township,Attorney General,,GRN,Richard L. Weiss,6,0,2,4,0
Bedford,2601 Rainsburg Borough,Attorney General,,GRN,Richard L. Weiss,0,0,0,0,0
Bedford,2701 Saxton Borough,Attorney General,,GRN,Richard L. Weiss,2,0,2,0,0
Bedford,2801 Schellsburg Borough,Attorney General,,GRN,Richard L. Weiss,0,0,0,0,0
Bedford,2901 Snake Spring Township,Attorney General,,GRN,Richard L. Weiss,10,0,8,2,0
Bedford,3003 Southampton Township,Attorney General,,GRN,Richard L. Weiss,4,1,1,2,0
Bedford,3101 St. Clairsville Borough,Attorney General,,GRN,Richard L. Weiss,1,0,0,1,0
Bedford,3201 East St. Clair Township,Attorney General,,GRN,Richard L. Weiss,11,2,5,4,0
Bedford,3202 West St. Clair Township,Attorney General,,GRN,Richard L. Weiss,2,0,1,1,0
Bedford,3301 Pavia Township,Attorney General,,GRN,Richard L. Weiss,1,0,1,0,0
Bedford,3401 Woodbury Borough,Attorney General,,GRN,Richard L. Weiss,2,1,1,0,0
Bedford,3501 Woodbury Township,Attorney General,,GRN,Richard L. Weiss,2,0,2,0,0
Bedford,3601 South Woodbury Township,Attorney General,,GRN,Richard L. Weiss,1,0,1,0,0
Bedford,0101 Bedford Borough East Ward,Attorney General,,,Write-ins,2,0,2,0,0
Bedford,0102 Bedford Borough West Ward,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,0201 Bedford Township No 1,Attorney General,,,Write-ins,1,1,0,0,0
Bedford,0202 Bedford Township No 2,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,0301 Bloomfield Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,0401 Broad Top Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,0501 Coaldale Borough,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,0601 Colerain Township,Attorney General,,,Write-ins,1,0,1,0,0
Bedford,0701 Cumberland Valley Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,0801 Everett Borough,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,0901 Harrison Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,1001 Hopewell Borough,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,1101 Hopewell Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,1201 Hyndman Borough,Attorney General,,,Write-ins,1,1,0,0,0
Bedford,1301 Juniata Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,1401 Kimmel Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,1501 King Township,Attorney General,,,Write-ins,2,0,0,2,0
Bedford,1601 Liberty Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,1701 Lincoln Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,1801 Londonderry Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,1901 Mann Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,2001 Manns Choice Borough,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,2101 Monroe Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,2201 Napier Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,2301 New Paris Borough,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,2401 Pleasantville Borough,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,2501 East Providence Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,2502 West Providence Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,2601 Rainsburg Borough,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,2701 Saxton Borough,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,2801 Schellsburg Borough,Attorney General,,,Write-ins,1,0,1,0,0
Bedford,2901 Snake Spring Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,3003 Southampton Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,3101 St. Clairsville Borough,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,3201 East St. Clair Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,3202 West St. Clair Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,3301 Pavia Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,3401 Woodbury Borough,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,3501 Woodbury Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,3601 South Woodbury Township,Attorney General,,,Write-ins,0,0,0,0,0
Bedford,0101 Bedford Borough East Ward,Auditor General,,DEM,Nina Ahmad,208,19,91,95,3
Bedford,0102 Bedford Borough West Ward,Auditor General,,DEM,Nina Ahmad,206,15,76,111,4
Bedford,0201 Bedford Township No 1,Auditor General,,DEM,Nina Ahmad,204,26,75,98,5
Bedford,0202 Bedford Township No 2,Auditor General,,DEM,Nina Ahmad,292,30,67,194,1
Bedford,0301 Bloomfield Township,Auditor General,,DEM,Nina Ahmad,54,4,34,16,0
Bedford,0401 Broad Top Township,Auditor General,,DEM,Nina Ahmad,117,1,67,46,3
Bedford,0501 Coaldale Borough,Auditor General,,DEM,Nina Ahmad,15,0,13,2,0
Bedford,0601 Colerain Township,Auditor General,,DEM,Nina Ahmad,101,4,51,46,0
Bedford,0701 Cumberland Valley Township,Auditor General,,DEM,Nina Ahmad,134,7,67,56,4
Bedford,0801 Everett Borough,Auditor General,,DEM,Nina Ahmad,107,6,53,48,0
Bedford,0901 Harrison Township,Auditor General,,DEM,Nina Ahmad,75,9,32,34,0
Bedford,1001 Hopewell Borough,Auditor General,,DEM,Nina Ahmad,14,2,11,1,0
Bedford,1101 Hopewell Township,Auditor General,,DEM,Nina Ahmad,135,7,55,73,0
Bedford,1201 Hyndman Borough,Auditor General,,DEM,Nina Ahmad,65,1,46,18,0
Bedford,1301 Juniata Township,Auditor General,,DEM,Nina Ahmad,87,4,44,39,0
Bedford,1401 Kimmel Township,Auditor General,,DEM,Nina Ahmad,130,3,66,61,0
Bedford,1501 King Township,Auditor General,,DEM,Nina Ahmad,47,4,22,20,1
Bedford,1601 Liberty Township,Auditor General,,DEM,Nina Ahmad,168,9,70,89,0
Bedford,1701 Lincoln Township,Auditor General,,DEM,Nina Ahmad,19,1,12,6,0
Bedford,1801 Londonderry Township,Auditor General,,DEM,Nina Ahmad,98,6,43,49,0
Bedford,1901 Mann Township,Auditor General,,DEM,Nina Ahmad,38,4,12,20,2
Bedford,2001 Manns Choice Borough,Auditor General,,DEM,Nina Ahmad,34,0,21,12,1
Bedford,2101 Monroe Township,Auditor General,,DEM,Nina Ahmad,75,2,36,37,0
Bedford,2201 Napier Township,Auditor General,,DEM,Nina Ahmad,167,5,63,99,0
Bedford,2301 New Paris Borough,Auditor General,,DEM,Nina Ahmad,15,1,6,8,0
Bedford,2401 Pleasantville Borough,Auditor General,,DEM,Nina Ahmad,10,0,6,4,0
Bedford,2501 East Providence Township,Auditor General,,DEM,Nina Ahmad,98,6,38,52,2
Bedford,2502 West Providence Township,Auditor General,,DEM,Nina Ahmad,214,18,54,139,3
Bedford,2601 Rainsburg Borough,Auditor General,,DEM,Nina Ahmad,7,0,3,4,0
Bedford,2701 Saxton Borough,Auditor General,,DEM,Nina Ahmad,65,4,34,26,1
Bedford,2801 Schellsburg Borough,Auditor General,,DEM,Nina Ahmad,28,2,10,16,0
Bedford,2901 Snake Spring Township,Auditor General,,DEM,Nina Ahmad,214,13,69,132,0
Bedford,3003 Southampton Township,Auditor General,,DEM,Nina Ahmad,42,7,7,27,1
Bedford,3101 St. Clairsville Borough,Auditor General,,DEM,Nina Ahmad,5,0,1,4,0
Bedford,3201 East St. Clair Township,Auditor General,,DEM,Nina Ahmad,227,8,73,144,2
Bedford,3202 West St. Clair Township,Auditor General,,DEM,Nina Ahmad,124,9,52,63,0
Bedford,3301 Pavia Township,Auditor General,,DEM,Nina Ahmad,12,0,8,4,0
Bedford,3401 Woodbury Borough,Auditor General,,DEM,Nina Ahmad,19,4,9,6,0
Bedford,3501 Woodbury Township,Auditor General,,DEM,Nina Ahmad,42,1,31,8,2
Bedford,3601 South Woodbury Township,Auditor General,,DEM,Nina Ahmad,86,4,42,38,2
Bedford,0101 Bedford Borough East Ward,Auditor General,,REP,Timothy DeFoor,591,22,464,101,4
Bedford,0102 Bedford Borough West Ward,Auditor General,,REP,Timothy DeFoor,611,18,475,111,7
Bedford,0201 Bedford Township No 1,Auditor General,,REP,Timothy DeFoor,1194,40,948,168,38
Bedford,0202 Bedford Township No 2,Auditor General,,REP,Timothy DeFoor,1300,60,948,281,11
Bedford,0301 Bloomfield Township,Auditor General,,REP,Timothy DeFoor,508,5,451,45,7
Bedford,0401 Broad Top Township,Auditor General,,REP,Timothy DeFoor,551,16,475,42,18
Bedford,0501 Coaldale Borough,Auditor General,,REP,Timothy DeFoor,47,0,46,1,0
Bedford,0601 Colerain Township,Auditor General,,REP,Timothy DeFoor,588,9,517,55,7
Bedford,0701 Cumberland Valley Township,Auditor General,,REP,Timothy DeFoor,707,14,611,67,15
Bedford,0801 Everett Borough,Auditor General,,REP,Timothy DeFoor,591,17,504,65,5
Bedford,0901 Harrison Township,Auditor General,,REP,Timothy DeFoor,427,14,369,35,9
Bedford,1001 Hopewell Borough,Auditor General,,REP,Timothy DeFoor,75,1,68,6,0
Bedford,1101 Hopewell Township,Auditor General,,REP,Timothy DeFoor,938,14,815,100,9
Bedford,1201 Hyndman Borough,Auditor General,,REP,Timothy DeFoor,354,5,331,12,6
Bedford,1301 Juniata Township,Auditor General,,REP,Timothy DeFoor,478,6,431,40,1
Bedford,1401 Kimmel Township,Auditor General,,REP,Timothy DeFoor,724,18,622,80,4
Bedford,1501 King Township,Auditor General,,REP,Timothy DeFoor,630,10,552,63,5
Bedford,1601 Liberty Township,Auditor General,,REP,Timothy DeFoor,668,13,568,78,9
Bedford,1701 Lincoln Township,Auditor General,,REP,Timothy DeFoor,225,2,214,7,2
Bedford,1801 Londonderry Township,Auditor General,,REP,Timothy DeFoor,838,19,741,64,14
Bedford,1901 Mann Township,Auditor General,,REP,Timothy DeFoor,271,8,240,21,2
Bedford,2001 Manns Choice Borough,Auditor General,,REP,Timothy DeFoor,106,1,98,6,1
Bedford,2101 Monroe Township,Auditor General,,REP,Timothy DeFoor,690,10,624,46,10
Bedford,2201 Napier Township,Auditor General,,REP,Timothy DeFoor,1096,25,914,149,8
Bedford,2301 New Paris Borough,Auditor General,,REP,Timothy DeFoor,61,1,54,4,2
Bedford,2401 Pleasantville Borough,Auditor General,,REP,Timothy DeFoor,84,1,78,3,2
Bedford,2501 East Providence Township,Auditor General,,REP,Timothy DeFoor,860,17,737,74,32
Bedford,2502 West Providence Township,Auditor General,,REP,Timothy DeFoor,1518,33,1185,256,44
Bedford,2601 Rainsburg Borough,Auditor General,,REP,Timothy DeFoor,46,1,42,2,1
Bedford,2701 Saxton Borough,Auditor General,,REP,Timothy DeFoor,230,4,210,12,4
Bedford,2801 Schellsburg Borough,Auditor General,,REP,Timothy DeFoor,144,2,134,5,3
Bedford,2901 Snake Spring Township,Auditor General,,REP,Timothy DeFoor,858,34,654,153,17
Bedford,3003 Southampton Township,Auditor General,,REP,Timothy DeFoor,427,9,388,26,4
Bedford,3101 St. Clairsville Borough,Auditor General,,REP,Timothy DeFoor,38,2,30,6,0
Bedford,3201 East St. Clair Township,Auditor General,,REP,Timothy DeFoor,1362,41,1138,168,15
Bedford,3202 West St. Clair Township,Auditor General,,REP,Timothy DeFoor,895,20,783,84,8
Bedford,3301 Pavia Township,Auditor General,,REP,Timothy DeFoor,151,5,127,12,7
Bedford,3401 Woodbury Borough,Auditor General,,REP,Timothy DeFoor,128,2,114,12,0
Bedford,3501 Woodbury Township,Auditor General,,REP,Timothy DeFoor,535,18,478,34,5
Bedford,3601 South Woodbury Township,Auditor General,,REP,Timothy DeFoor,975,23,885,55,12
Bedford,0101 Bedford Borough East Ward,Auditor General,,LIB,Jennifer Moore,29,3,18,7,1
Bedford,0102 Bedford Borough West Ward,Auditor General,,LIB,Jennifer Moore,24,1,20,3,0
Bedford,0201 Bedford Township No 1,Auditor General,,LIB,Jennifer Moore,29,2,20,6,1
Bedford,0202 Bedford Township No 2,Auditor General,,LIB,Jennifer Moore,44,4,33,6,1
Bedford,0301 Bloomfield Township,Auditor General,,LIB,Jennifer Moore,13,0,12,1,0
Bedford,0401 Broad Top Township,Auditor General,,LIB,Jennifer Moore,14,0,11,3,0
Bedford,0501 Coaldale Borough,Auditor General,,LIB,Jennifer Moore,1,0,1,0,0
Bedford,0601 Colerain Township,Auditor General,,LIB,Jennifer Moore,9,0,3,6,0
Bedford,0701 Cumberland Valley Township,Auditor General,,LIB,Jennifer Moore,22,1,16,5,0
Bedford,0801 Everett Borough,Auditor General,,LIB,Jennifer Moore,25,1,19,3,2
Bedford,0901 Harrison Township,Auditor General,,LIB,Jennifer Moore,17,0,16,0,1
Bedford,1001 Hopewell Borough,Auditor General,,LIB,Jennifer Moore,8,3,5,0,0
Bedford,1101 Hopewell Township,Auditor General,,LIB,Jennifer Moore,22,1,14,7,0
Bedford,1201 Hyndman Borough,Auditor General,,LIB,Jennifer Moore,12,1,11,0,0
Bedford,1301 Juniata Township,Auditor General,,LIB,Jennifer Moore,17,1,14,2,0
Bedford,1401 Kimmel Township,Auditor General,,LIB,Jennifer Moore,24,3,19,2,0
Bedford,1501 King Township,Auditor General,,LIB,Jennifer Moore,20,1,16,3,0
Bedford,1601 Liberty Township,Auditor General,,LIB,Jennifer Moore,15,3,10,2,0
Bedford,1701 Lincoln Township,Auditor General,,LIB,Jennifer Moore,4,0,3,1,0
Bedford,1801 Londonderry Township,Auditor General,,LIB,Jennifer Moore,15,0,13,2,0
Bedford,1901 Mann Township,Auditor General,,LIB,Jennifer Moore,8,0,8,0,0
Bedford,2001 Manns Choice Borough,Auditor General,,LIB,Jennifer Moore,9,0,8,1,0
Bedford,2101 Monroe Township,Auditor General,,LIB,Jennifer Moore,9,0,8,0,1
Bedford,2201 Napier Township,Auditor General,,LIB,Jennifer Moore,22,3,14,5,0
Bedford,2301 New Paris Borough,Auditor General,,LIB,Jennifer Moore,6,0,5,1,0
Bedford,2401 Pleasantville Borough,Auditor General,,LIB,Jennifer Moore,2,0,2,0,0
Bedford,2501 East Providence Township,Auditor General,,LIB,Jennifer Moore,22,0,18,3,1
Bedford,2502 West Providence Township,Auditor General,,LIB,Jennifer Moore,33,0,25,7,1
Bedford,2601 Rainsburg Borough,Auditor General,,LIB,Jennifer Moore,3,0,3,0,0
Bedford,2701 Saxton Borough,Auditor General,,LIB,Jennifer Moore,10,0,10,0,0
Bedford,2801 Schellsburg Borough,Auditor General,,LIB,Jennifer Moore,4,0,3,1,0
Bedford,2901 Snake Spring Township,Auditor General,,LIB,Jennifer Moore,23,1,18,4,0
Bedford,3003 Southampton Township,Auditor General,,LIB,Jennifer Moore,10,0,9,1,0
Bedford,3101 St. Clairsville Borough,Auditor General,,LIB,Jennifer Moore,0,0,0,0,0
Bedford,3201 East St. Clair Township,Auditor General,,LIB,Jennifer Moore,42,1,36,4,1
Bedford,3202 West St. Clair Township,Auditor General,,LIB,Jennifer Moore,21,2,14,3,2
Bedford,3301 Pavia Township,Auditor General,,LIB,Jennifer Moore,2,0,2,0,0
Bedford,3401 Woodbury Borough,Auditor General,,LIB,Jennifer Moore,4,1,3,0,0
Bedford,3501 Woodbury Township,Auditor General,,LIB,Jennifer Moore,9,0,8,1,0
Bedford,3601 South Woodbury Township,Auditor General,,LIB,Jennifer Moore,20,1,16,3,0
Bedford,0101 Bedford Borough East Ward,Auditor General,,GRN,Olivia Faison,3,0,1,2,0
Bedford,0102 Bedford Borough West Ward,Auditor General,,GRN,Olivia Faison,11,1,6,4,0
Bedford,0201 Bedford Township No 1,Auditor General,,GRN,Olivia Faison,10,1,6,2,1
Bedford,0202 Bedford Township No 2,Auditor General,,GRN,Olivia Faison,8,4,3,1,0
Bedford,0301 Bloomfield Township,Auditor General,,GRN,Olivia Faison,2,1,1,0,0
Bedford,0401 Broad Top Township,Auditor General,,GRN,Olivia Faison,9,1,7,1,0
Bedford,0501 Coaldale Borough,Auditor General,,GRN,Olivia Faison,0,0,0,0,0
Bedford,0601 Colerain Township,Auditor General,,GRN,Olivia Faison,4,0,2,2,0
Bedford,0701 Cumberland Valley Township,Auditor General,,GRN,Olivia Faison,9,0,8,0,1
Bedford,0801 Everett Borough,Auditor General,,GRN,Olivia Faison,5,1,1,3,0
Bedford,0901 Harrison Township,Auditor General,,GRN,Olivia Faison,4,0,3,1,0
Bedford,1001 Hopewell Borough,Auditor General,,GRN,Olivia Faison,0,0,0,0,0
Bedford,1101 Hopewell Township,Auditor General,,GRN,Olivia Faison,5,1,3,1,0
Bedford,1201 Hyndman Borough,Auditor General,,GRN,Olivia Faison,5,0,3,2,0
Bedford,1301 Juniata Township,Auditor General,,GRN,Olivia Faison,3,0,3,0,0
Bedford,1401 Kimmel Township,Auditor General,,GRN,Olivia Faison,3,0,3,0,0
Bedford,1501 King Township,Auditor General,,GRN,Olivia Faison,5,0,4,1,0
Bedford,1601 Liberty Township,Auditor General,,GRN,Olivia Faison,7,0,7,0,0
Bedford,1701 Lincoln Township,Auditor General,,GRN,Olivia Faison,1,0,0,1,0
Bedford,1801 Londonderry Township,Auditor General,,GRN,Olivia Faison,7,1,5,1,0
Bedford,1901 Mann Township,Auditor General,,GRN,Olivia Faison,1,0,1,0,0
